연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2020,5,2020-05-29,1,KOSDAQ,수젠텍,253840,541.41,31450,37.34,342.96,450.79,245.6,-20.7
2020,5,2020-05-29,2,KOSDAQ,알테오젠,196170,397.47,67224,156.58,179.41,384.36,465.38,10.3
2020,5,2020-05-29,3,KOSDAQ,엘앤씨바이오,290650,394.65,38433,65.18,137.98,436.25,395.91,-12.1
2020,5,2020-05-29,4,KOSDAQ,씨젠,096530,388.62,58750,25.84,220.27,315.28,299.66,-3.5
2020,5,2020-05-29,5,KOSPI,신풍제약,019170,307.08,21700,29.94,194.84,228.79,214.04,39.2
2020,5,2020-05-29,6,KOSPI,파미셀,005690,303.68,24100,26.84,211.37,214.21,164.25,-23.7
2020,5,2020-05-29,7,KOSDAQ,EDGC,245620,253.59,6967,6.5,168.17,195.34,113.45,-19.7
2020,5,2020-05-29,8,KOSDAQ,에스앤에스텍,101490,215.65,27400,30.79,56.57,204.78,370.79,37.0
2020,5,2020-05-29,9,KOSDAQ,톱텍,108230,210.35,23100,12.96,136.92,142.39,161.02,-17.5
2020,5,2020-05-29,10,KOSDAQ,셀트리온제약,068760,201.34,74197,29.89,129.84,171.55,88.37,38.4
2020,5,2020-05-29,11,KOSDAQ,NHN한국사이버결제,060250,199.52,30221,36.35,77.15,171.65,296.24,-6.4
2020,5,2020-05-29,12,KOSDAQ,알서포트,131370,162.07,6620,6.43,84.4,157.09,86.48,12.7
2020,5,2020-05-29,13,KOSDAQ,바디텍메드,206640,155.76,22050,-4.55,85.29,130.41,107.04,-21.3
2020,5,2020-05-29,14,KOSDAQ,유비케어,032620,155.7,10900,51.39,124.51,93.61,97.82,-9.2
2020,5,2020-05-29,15,KOSPI,부광약품,003000,142.5,22050,1.15,110.36,89.04,49.59,28.4
2020,5,2020-05-29,16,KOSPI,KG동부제철,016380,140.58,15700,36.52,124.61,113.9,-43.73,-25.2
2020,5,2020-05-29,17,KOSDAQ,코오롱생명과학,102940,140.17,37250,0.54,101.35,90.05,70.87,-10.3
2020,5,2020-05-29,18,KOSDAQ,한국알콜,017890,123.7,16600,5.06,55.87,130.88,72.92,-9.6
2020,5,2020-05-29,19,KOSDAQ,대주전자재료,078600,123.62,30100,60.96,79.17,101.34,109.03,14.5
2020,5,2020-05-29,20,KOSDAQ,에코프로비엠,247540,115.49,29625,64.25,47.48,140.52,100.51,0.5
2020,5,2020-05-29,21,KOSPI,한진칼,180640,113.73,86300,-0.8,28.42,140.73,102.34,-7.1
2020,5,2020-05-29,22,KOSDAQ,다우데이타,032190,98.75,13750,67.89,85.06,68.71,49.62,-8.7
2020,5,2020-05-29,23,KOSDAQ,바이넥스,053030,95.68,12450,6.87,77.6,62.75,18.01,2.4
2020,5,2020-05-29,24,KOSPI,카카오,035720,90.97,52888,43.21,53.2,69.45,111.65,1.5
2020,5,2020-05-29,25,KOSDAQ,셀트리온헬스케어,091990,90.87,84067,7.33,40.13,93.48,67.47,19.4
2020,5,2020-05-29,26,KOSDAQ,안트로젠,065660,90.26,63400,80.88,95.68,53.51,15.69,11.2
2020,5,2020-05-29,27,KOSDAQ,에스맥,097780,80.3,5248,10.16,55.87,56.38,47.25,-6.8
2020,5,2020-05-29,28,KOSDAQ,SK바이오랜드,052260,80.23,16475,37.58,45.8,56.9,113.27,0.2
2020,5,2020-05-29,29,KOSPI,삼성바이오로직스,207940,76.45,904710,7.06,34.2,58.07,107.33,24.6
2020,5,2020-05-29,30,KOSPI,더존비즈온,012510,74.94,120000,36.52,39.53,68.07,82.93,-15.0
2020,5,2020-05-29,31,KOSDAQ,녹십자랩셀,144510,74.12,46650,13.09,62.54,43.32,25.23,9.3
2020,5,2020-05-29,32,KOSDAQ,콜마비앤에이치,200130,73.46,40400,40.28,51.03,53.9,68.68,-0.1
2020,5,2020-05-29,33,KOSPI,SK케미칼,285130,71.97,61316,18.28,59.83,30.91,61.51,39.8
2020,5,2020-05-29,34,KOSDAQ,차바이오텍,085660,71.6,18693,18.77,63.3,40.62,21.99,-1.5
2020,5,2020-05-29,35,KOSDAQ,천보,278280,67.06,93800,40.0,41.69,75.0,21.03,-2.7
2020,5,2020-05-29,36,KOSPI,더블유게임즈,192080,66.56,56738,15.52,63.02,38.86,-0.89,19.1
2020,5,2020-05-29,37,KOSDAQ,에스티팜,237690,65.87,36900,12.16,27.68,49.39,107.3,9.2
2020,5,2020-05-29,38,KOSDAQ,테라젠이텍스,066700,64.84,11500,5.99,59.06,25.55,30.09,-9.1
2020,5,2020-05-29,39,KOSDAQ,뉴지랩,214870,64.71,72552,9.43,40.78,36.79,77.92,-9.7
2020,5,2020-05-29,40,KOSPI,DB하이텍,000990,59.19,28600,6.92,20.17,50.53,95.89,0.9
2020,5,2020-05-29,41,KOSDAQ,리노공업,058470,58.82,19362,8.29,19.68,63.9,63.9,16.9
