순위,종목코드,종목명,시가총액,기준일(월말),1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
1,005930,삼성전자,203731000000000.0,2016-06-30,11.33,8.94,13.1,12.38,8.0
2,015760,한국전력,38774600000000.0,2016-06-30,-4.13,0.83,20.8,31.88,1.49
3,005380,현대차,29847500000000.0,2016-06-30,-0.73,-12.86,-9.06,-0.37,-2.58
4,090430,아모레퍼시픽,25224800000000.0,2016-06-30,3.23,11.21,4.1,3.23,-10.08
5,012330,현대모비스,24530700000000.0,2016-06-30,-0.98,0.8,2.23,18.87,1.19
6,000660,SK하이닉스,23587300000000.0,2016-06-30,11.72,13.09,5.37,-23.4,6.17
7,035420,NAVER,23403500000000.0,2016-06-30,0.0,11.46,7.9,11.99,0.0
8,028260,삼성물산,23331900000000.0,2016-06-30,2.07,-14.58,-12.14,-30.7,10.16
9,032830,삼성생명,20100000000000.0,2016-06-30,-2.43,-12.61,-8.64,-6.51,-3.18
10,033780,KT&G,18740400000000.0,2016-06-30,7.91,22.42,30.62,43.84,-11.36
11,055550,신한지주,18019600000000.0,2016-06-30,-3.55,-6.17,-3.92,-8.54,5.13
12,005490,POSCO,17568100000000.0,2016-06-30,-3.12,-8.2,21.02,-10.04,12.41
13,000270,기아차,17511700000000.0,2016-06-30,-5.57,-12.28,-17.87,-4.64,-2.43
14,051900,LG생활건강,17445500000000.0,2016-06-30,8.55,18.83,6.38,44.32,-9.76
15,017670,SK텔레콤,17400700000000.0,2016-06-30,-2.04,2.87,0.0,-13.8,6.73
16,051910,LG화학,17230500000000.0,2016-06-30,-4.76,-21.45,-20.85,-6.64,-6.35
17,034730,SK,14248000000000.0,2016-06-30,-12.53,-10.99,-15.8,-26.76,2.96
18,002790,아모레G,13365000000000.0,2016-06-30,0.6,15.52,13.18,-10.43,-13.73
19,096770,SK이노베이션,12991400000000.0,2016-06-30,-14.59,-17.35,8.08,15.16,3.91
20,105560,KB금융,12595100000000.0,2016-06-30,-2.25,2.35,-1.66,-11.65,7.98
21,000810,삼성화재,12483300000000.0,2016-06-30,-3.83,-10.22,-14.31,-10.37,1.14
22,018260,삼성에스디에스,11103700000000.0,2016-06-30,-21.8,-19.61,-43.5,-44.7,9.41
23,003550,LG,10991900000000.0,2016-06-30,-2.3,-7.14,-10.03,3.07,-0.31
24,011170,롯데케미칼,9699940000000.0,2016-06-30,0.0,-19.03,16.22,-2.08,7.24
25,010130,고려아연,9585960000000.0,2016-06-30,7.4,3.67,8.32,-6.79,0.2
26,034220,LG디스플레이,9446330000000.0,2016-06-30,2.72,-0.57,7.54,2.13,17.43
27,035250,강원랜드,8921320000000.0,2016-06-30,-0.6,1.83,8.59,12.7,-1.68
28,008930,한미사이언스,8918420000000.0,2016-06-30,0.33,-1.92,18.6,17.33,-5.88
29,066570,LG전자,8820620000000.0,2016-06-30,-3.23,-14.17,0.19,14.19,-0.74
30,010950,S-Oil,8522520000000.0,2016-06-30,-13.39,-21.47,-4.66,11.98,1.06
31,021240,코웨이,8059540000000.0,2016-06-30,3.98,9.65,24.26,14.33,-17.99
32,009540,현대중공업,8018000000000.0,2016-06-30,0.48,-1.4,20.16,-4.95,18.96
33,030200,KT,7741970000000.0,2016-06-30,-8.91,-0.34,4.96,4.22,7.08
34,006400,삼성SDI,7426570000000.0,2016-06-30,0.93,8.65,-5.26,-2.7,-2.31
35,128940,한미약품,7367190000000.0,2016-06-30,13.69,-1.67,-3.02,54.0,-13.46
36,047810,한국항공우주,7135180000000.0,2016-06-30,10.41,12.27,-6.27,-7.92,10.11
37,086790,하나금융지주,6882070000000.0,2016-06-30,-7.0,-4.32,-1.48,-19.97,18.49
38,000030,우리은행,6435520000000.0,2016-06-30,-4.8,1.49,7.94,-2.86,6.09
39,086280,현대글로비스,6431250000000.0,2016-06-30,-4.99,-12.05,-11.14,-15.1,-2.04
40,023530,롯데쇼핑,6376910000000.0,2016-06-30,-9.4,-23.73,-12.9,-13.65,-4.69
41,161390,한국타이어,6317630000000.0,2016-06-30,1.19,-10.05,8.4,21.43,6.27
42,024110,기업은행,6243760000000.0,2016-06-30,-0.45,-8.23,-9.72,-22.84,6.28
43,004020,현대제철,6118490000000.0,2016-06-30,-6.33,-18.56,-8.21,-32.27,10.36
44,001040,CJ,5889370000000.0,2016-06-30,-7.34,1.25,-19.52,-31.76,-0.74
45,001800,오리온,5629480000000.0,2016-06-30,-1.36,1.62,-19.21,-10.11,-2.23
46,018880,한온시스템,5604900000000.0,2016-06-30,-13.22,13.63,1.16,36.2,9.05
47,027410,BGF리테일,5289240000000.0,2016-06-30,0.0,32.61,24.49,33.44,-6.56
48,036570,엔씨소프트,5175250000000.0,2016-06-30,-1.26,-5.98,10.8,18.89,6.36
49,097950,CJ제일제당,5113090000000.0,2016-06-30,0.52,10.06,2.91,-11.9,1.29
50,088350,한화생명,5028790000000.0,2016-06-30,-9.39,-14.85,-21.65,-26.99,-0.35
51,000120,CJ대한통운,4950280000000.0,2016-06-30,3.33,15.43,13.61,11.86,-7.6
52,005830,동부화재,4906440000000.0,2016-06-30,-5.33,-6.73,-1.42,22.65,-8.37
53,139480,이마트,4822520000000.0,2016-06-30,-4.95,-0.29,-8.47,-25.11,-5.49
54,029780,삼성카드,4808140000000.0,2016-06-30,9.35,11.56,34.52,12.16,3.98
55,032640,LG유플러스,4759060000000.0,2016-06-30,-7.23,-2.24,4.81,10.55,0.46
56,078930,GS,4408830000000.0,2016-06-30,-9.96,-18.75,-6.41,-4.62,1.37
57,004800,효성,4372120000000.0,2016-06-30,5.51,-14.14,5.96,-13.54,11.65
58,007070,GS리테일,4196500000000.0,2016-06-30,7.28,19.13,1.3,16.7,-7.52
59,012750,에스원,4103910000000.0,2016-06-30,8.22,20.81,8.32,37.58,-6.02
60,002380,KCC,4016750000000.0,2016-06-30,-5.47,-6.85,-8.86,-22.51,3.68
61,009830,한화케미칼,3914220000000.0,2016-06-30,0.0,-3.65,-12.68,27.01,7.58
62,009150,삼성전기,3742150000000.0,2016-06-30,-4.21,-15.08,-20.35,-1.96,10.18
63,009240,한샘,3741890000000.0,2016-06-30,-6.74,-30.26,-31.32,-43.42,8.18
64,000720,현대건설,3713710000000.0,2016-06-30,-1.04,-20.78,16.82,-18.76,10.34
65,036460,한국가스공사,3669440000000.0,2016-06-30,1.02,2.58,7.87,-7.99,6.42
66,000100,유한양행,3412680000000.0,2016-06-30,-3.01,11.07,12.29,12.09,0.0
67,069960,현대백화점,3018910000000.0,2016-06-30,-1.15,-9.15,1.98,-12.24,-3.88
68,012630,현대산업,2981440000000.0,2016-06-30,-11.72,-15.13,1.93,-40.26,12.01
69,051600,한전KPS,2916000000000.0,2016-06-30,-7.43,0.47,-27.19,-45.08,5.86
70,088980,맥쿼리인프라,2903580000000.0,2016-06-30,0.23,4.79,9.09,8.82,2.17
71,047050,포스코대우,2846910000000.0,2016-06-30,5.49,17.92,52.91,-3.1,-14.6
72,007310,오뚜기,2831120000000.0,2016-06-30,-4.19,-9.66,-32.82,3.65,-5.1
73,004990,롯데제과,2778840000000.0,2016-06-30,-14.44,-25.56,-14.29,0.49,-3.07
74,016360,삼성증권,2698160000000.0,2016-06-30,-0.84,-14.42,-15.45,-35.35,7.08
75,008770,호텔신라,2664950000000.0,2016-06-30,4.95,1.19,-12.16,-39.1,-12.22
76,000880,한화,2653540000000.0,2016-06-30,-6.23,-2.48,-10.15,-25.0,0.57
77,000210,대림산업,2644800000000.0,2016-06-30,-6.98,-17.03,13.26,-7.32,10.53
78,037620,미래에셋증권,2634290000000.0,2016-06-30,-1.71,-3.35,6.71,-31.28,15.18
79,138930,BNK금융지주,2630300000000.0,2016-06-30,-6.49,-14.78,-4.16,-40.87,9.17
80,001450,현대해상,2614950000000.0,2016-06-30,-6.85,-11.09,-18.86,-0.85,3.59
81,012450,한화테크윈,2582120000000.0,2016-06-30,9.09,29.95,36.71,65.87,11.32
82,005940,NH투자증권,2569260000000.0,2016-06-30,1.44,-10.05,-9.6,-25.16,13.91
83,006800,미래에셋대우,2545000000000.0,2016-06-30,-1.13,-8.57,-17.74,-48.92,16.55
84,011210,현대위아,2423080000000.0,2016-06-30,-0.22,-17.12,-20.45,-13.5,-3.59
85,071050,한국금융지주,2346060000000.0,2016-06-30,-5.5,-7.17,-15.04,-33.91,11.4
86,047040,대우건설,2331640000000.0,2016-06-30,-2.94,-12.34,0.18,-9.22,10.87
87,004370,농심,2274910000000.0,2016-06-30,-2.86,-7.43,-14.9,28.74,-10.03
88,034020,두산중공업,2250560000000.0,2016-06-30,-9.97,-0.93,2.91,-11.67,23.58
89,005300,롯데칠성,2209640000000.0,2016-06-30,-7.8,-2.24,-19.51,-32.81,-7.61
90,006280,녹십자,2197070000000.0,2016-06-30,4.44,4.74,2.73,-26.71,-6.91
91,079160,CJ CGV,2190200000000.0,2016-06-30,-9.61,4.23,-17.86,-19.14,-11.4
92,010060,OCI,2153600000000.0,2016-06-30,-8.32,-14.0,20.4,0.33,2.99
93,079550,LIG넥스원,2136200000000.0,2016-06-30,-0.92,-6.18,-6.18,,7.62
94,010140,삼성중공업,2114820000000.0,2016-06-30,3.28,-18.59,-15.58,-46.28,8.52
95,161890,한국콜마,2110020000000.0,2016-06-30,9.29,21.51,5.37,-1.48,-5.1
96,003520,영진약품,2078150000000.0,2016-06-30,0.43,238.15,449.3,596.43,-7.69
97,000240,한국타이어월드와이드,2069700000000.0,2016-06-30,-4.51,-1.98,27.14,32.84,-7.19
98,204320,만도,2042630000000.0,2016-06-30,-1.36,36.36,31.42,74.7,19.54
99,028050,삼성엔지니어링,2009000000000.0,2016-06-30,7.67,-5.96,-29.55,-47.97,3.41
100,000150,두산,1982450000000.0,2016-06-30,-1.38,8.37,5.31,-14.5,20.71
101,006360,GS건설,1970250000000.0,2016-06-30,-3.81,-0.36,40.51,3.54,3.42
102,030000,제일기획,1944200000000.0,2016-06-30,5.3,-0.59,-18.36,-2.31,6.51
103,004170,신세계,1919810000000.0,2016-06-30,-4.88,-5.11,-15.22,-27.24,-6.67
104,001440,대한전선,1901370000000.0,2016-06-30,-9.4,-44.93,-3.08,-26.03,0.47
105,003490,대한항공,1890190000000.0,2016-06-30,-4.24,-15.47,-6.31,-35.92,9.82
106,011070,LG이노텍,1864970000000.0,2016-06-30,-8.27,-0.63,-20.0,-21.59,13.45
107,028670,팬오션,1858090000000.0,2016-06-30,-2.1,-7.42,-5.28,-22.33,5.29
108,111770,영원무역,1834490000000.0,2016-06-30,-1.19,-15.16,-1.66,-24.86,-14.37
109,005440,현대그린푸드,1817300000000.0,2016-06-30,-1.33,-3.63,-25.0,-11.85,-0.27
110,120110,코오롱인더,1816210000000.0,2016-06-30,3.58,-0.55,15.13,11.92,20.47
111,011780,금호석유,1812830000000.0,2016-06-30,-5.56,1.88,14.2,-15.96,2.02
112,006260,LS,1806420000000.0,2016-06-30,-0.36,27.5,39.03,29.11,-4.99
113,005250,녹십자홀딩스,1780020000000.0,2016-06-30,8.14,2.85,-9.77,-24.07,-9.38
114,000670,영풍,1772040000000.0,2016-06-30,0.73,-11.09,-12.31,-33.84,16.74
115,006120,SK케미칼,1764420000000.0,2016-06-30,-6.08,-9.36,0.0,0.17,-7.99
116,002550,KB손해보험,1680000000000.0,2016-06-30,-9.39,-16.79,-4.11,-2.95,1.43
117,138040,메리츠금융지주,1678910000000.0,2016-06-30,0.86,-5.24,-9.62,-25.87,5.53
118,000080,하이트진로,1672690000000.0,2016-06-30,-4.6,-19.15,1.92,5.3,-5.66
119,010780,아이에스동서,1653710000000.0,2016-06-30,26.1,32.89,35.73,-16.92,0.33
120,114090,GKL,1642270000000.0,2016-06-30,-6.68,14.69,9.71,-14.63,-1.88
121,214320,이노션,1622000000000.0,2016-06-30,-6.13,0.5,15.86,,-1.11
122,000060,메리츠화재,1621970000000.0,2016-06-30,-7.55,-10.09,-8.98,-9.54,4.42
123,005610,삼립식품,1617940000000.0,2016-06-30,-6.72,-16.67,-32.19,-30.3,2.4
124,008560,메리츠종금증권,1599180000000.0,2016-06-30,0.63,-12.02,-19.4,-50.64,16.77
125,014820,동원시스템즈,1586840000000.0,2016-06-30,-6.52,-13.06,-25.28,-19.63,-4.55
126,039490,키움증권,1577920000000.0,2016-06-30,-2.06,6.25,15.16,-3.38,10.78
127,006650,대한유화,1556750000000.0,2016-06-30,4.59,-8.59,39.24,24.09,-1.88
128,192820,코스맥스,1534420000000.0,2016-06-30,9.29,36.95,-7.34,-15.38,-14.96
129,017800,현대엘리베이,1527220000000.0,2016-06-30,3.85,14.81,2.99,-17.88,-0.48
130,057050,현대홈쇼핑,1524000000000.0,2016-06-30,-3.79,-2.68,9.96,3.67,-4.33
131,064350,현대로템,1517250000000.0,2016-06-30,4.39,5.0,21.84,-11.85,19.33
132,073240,금호타이어,1508830000000.0,2016-06-30,14.92,13.96,41.9,31.36,4.19
133,105630,한세실업,1508000000000.0,2016-06-30,-9.27,-34.21,-28.87,-1.18,-18.3
134,002620,제일약품,1485000000000.0,2016-06-30,0.5,87.62,160.07,140.97,-28.5
135,003450,현대증권,1481190000000.0,2016-06-30,-2.19,-12.08,-3.54,-30.98,9.9
136,001740,SK네트웍스,1474230000000.0,2016-06-30,-2.78,-7.48,8.2,-33.85,4.55
137,003690,코리안리,1468500000000.0,2016-06-30,-5.06,-13.48,-13.78,-0.82,-0.82
138,139130,DGB금융지주,1465690000000.0,2016-06-30,-4.83,-4.73,-13.73,-25.9,3.92
139,001120,LG상사,1459310000000.0,2016-06-30,-2.71,6.51,11.39,-3.21,-3.19
140,226320,잇츠스킨,1455360000000.0,2016-06-30,-3.48,-3.7,8.89,,-11.16
141,010120,LS산전,1426500000000.0,2016-06-30,-3.65,2.37,3.37,4.05,-8.83
142,192400,쿠쿠전자,1426390000000.0,2016-06-30,-17.56,-27.97,-36.6,-48.13,2.41
143,042670,두산인프라코어,1412770000000.0,2016-06-30,14.46,7.58,45.02,-30.52,17.04
144,003410,쌍용양회,1396150000000.0,2016-06-30,3.3,-2.31,15.28,18.89,2.15
145,010620,현대미포조선,1382000000000.0,2016-06-30,0.14,5.34,32.63,6.64,16.35
146,003000,부광약품,1279190000000.0,2016-06-30,9.77,21.24,34.59,11.32,-10.94
147,002350,넥센타이어,1272690000000.0,2016-06-30,-2.22,-9.9,6.88,5.6,1.89
148,181710,NHN엔터테인먼트,1261940000000.0,2016-06-30,7.68,18.57,13.36,8.22,2.17
149,000070,삼양홀딩스,1254670000000.0,2016-06-30,1.03,-4.87,-7.86,-37.12,-17.75
150,069620,대웅제약,1210800000000.0,2016-06-30,4.5,10.0,46.98,-17.72,-9.0
151,068870,LG생명과학,1193540000000.0,2016-06-30,1.84,7.46,18.81,2.42,0.97
152,001060,JW중외제약,1167670000000.0,2016-06-30,17.32,75.49,70.68,63.02,-7.22
153,002270,롯데푸드,1166760000000.0,2016-06-30,-6.37,-0.12,-10.22,-5.96,-4.46
154,042660,대우조선해양,1156550000000.0,2016-06-30,-1.4,-17.86,-16.57,-68.2,5.91
155,170900,동아에스티,1144140000000.0,2016-06-30,1.5,-12.86,-7.82,-8.75,-14.76
156,108670,LG하우시스,1143380000000.0,2016-06-30,-7.61,-8.93,-12.97,-14.43,-0.78
157,007570,일양약품,1098950000000.0,2016-06-30,20.21,14.48,17.76,-25.16,-14.56
158,009420,한올바이오파마,1097050000000.0,2016-06-30,23.89,22.09,59.7,39.53,5.0
159,049770,동원F&B,1094060000000.0,2016-06-30,-1.05,-14.87,-27.86,-25.0,-17.81
160,082640,동양생명,1091860000000.0,2016-06-30,-5.14,-15.42,-12.88,-33.44,5.91
161,071840,롯데하이마트,1088320000000.0,2016-06-30,-9.61,-10.66,-21.86,-39.1,-2.93
162,006040,동원산업,1049320000000.0,2016-06-30,-3.41,11.83,17.96,4.7,-9.29
163,023590,다우기술,1045390000000.0,2016-06-30,-6.05,8.37,6.88,-15.88,14.16
164,185750,종근당,1039700000000.0,2016-06-30,-3.5,-21.63,14.98,22.1,0.91
165,081660,휠라코리아,1036990000000.0,2016-06-30,-1.3,-4.42,-3.71,-18.11,-2.75
166,052690,한전기술,1016650000000.0,2016-06-30,-6.83,-13.07,-23.12,-30.64,18.05
167,011790,SKC,1015310000000.0,2016-06-30,-2.17,-17.02,-19.97,-26.49,10.54
