Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),12-1개월(%),6-1개월(%),3-1개월(%),모멘텀스코어
3154,2000-11-30,2000,SCHW,20.02,-21.15,-27.95,-1.93,8.32,2.48,37.37476220672163,24.375396322130637,-8.623969562460365,17.708729655463966
3155,2000-11-30,2000,ABT,12.97,4.26,26.3,36.46,47.57,-12.03,41.540379819681576,30.884327642432385,21.13945904469594,31.188055502269965
3156,2000-11-30,2000,AMAT,14.63,-23.88,-53.15,-51.57,-17.0,-5.56,9.038360483447194,-36.376773515501846,-38.45244351024697,-21.930285514100543
3157,2000-11-30,2000,AXP,33.9,-8.44,-6.79,2.02,9.74,0.0,19.855832241153347,11.42420270860638,1.8020969855832236,11.027377311780983
3158,2000-11-30,2000,MCD,16.94,3.5,7.34,-10.41,-29.87,6.67,-32.2415458937198,-13.439613526570039,3.7101449275362297,-13.990338164251206
3159,2000-11-30,2000,EIX,10.41,-3.93,12.37,10.3,-8.56,-31.88,-4.819402518996563,14.81211616529614,16.96679504527947,8.986502897193015
3160,2000-11-30,2000,SPG,6.82,5.18,3.16,-2.37,6.74,4.63,1.4831717056474458,-7.178170754896385,-1.9205172085947853,-2.5385054192812415
3161,2000-11-30,2000,AAPL,0.25,-15.65,-72.92,-60.71,-66.28,-9.85,-60.02371072910493,-53.42027267338471,-67.89567279193835,-60.44655206480933
3162,2000-11-30,2000,INTC,21.65,-15.38,-49.14,-38.9,-0.61,-21.02,17.45450248168283,-27.7948475537698,-39.896005672417864,-16.74545024816828
3163,2000-11-30,2000,MUR,5.92,-4.88,-17.44,-14.55,-0.64,10.39,4.457527333894018,-10.166105971404537,-13.20437342304458,-6.304317353518367
3164,2000-11-30,2000,HST,5.2,11.76,13.5,28.88,39.83,11.2,25.116320687186832,15.318539727988556,1.5569076592698794,13.997256024815089
3165,2000-11-30,2000,DHR,6.48,3.27,16.07,35.38,32.88,4.92,28.6724121235596,31.093250702043207,12.394693521835976,24.053452115812927
3166,2000-11-30,2000,COP,9.63,-8.5,-8.17,-0.06,21.57,0.66,32.86338797814208,9.224043715846975,0.360655737704918,14.149362477231323
3167,2000-11-30,2000,AN,6.44,-4.63,-0.96,-9.45,-23.42,-6.8,-19.702212435776445,-5.054000209709553,3.848170284156449,-6.969347453776517
3168,2000-11-30,2000,DVA,3.52,-6.11,50.89,168.25,48.25,62.13,57.89753967408671,185.70667802747897,60.70934071786134,101.43785280647568
3169,2000-11-30,2000,BAX,14.64,5.32,3.96,30.17,34.53,3.45,27.73452335738702,23.594758830231697,-1.29130269654385,16.679326497024956
3170,2000-11-30,2000,MAR,15.24,2.31,5.03,14.69,28.13,2.11,25.237024728765522,12.100478936565363,2.658586648421468,13.332030104584119
3171,2000-11-30,2000,WMB,10.05,-15.4,-23.23,-14.31,6.36,13.35,25.72104018912531,1.2884160756501117,-9.25531914893616,5.918045705279755
3172,2000-11-30,2000,ZION,33.63,-4.56,22.5,18.11,-13.66,14.3,-9.534786253143345,23.753143336127415,28.35289186923722,14.190416317407097
3173,2000-11-30,2000,BXP,13.14,4.78,6.27,24.73,58.52,3.74,51.28841381943117,19.03989310937202,1.4220271044092403,23.916778011070807
3174,2000-11-30,2000,KMB,28.6,5.97,20.07,16.65,11.49,1.48,5.209021421156912,10.07832405397755,13.305652543172574,9.53099933943568
3175,2000-11-30,2000,KSS,27.59,-1.15,-4.38,3.5,48.4,13.89,50.126454223571045,4.704097116843697,-3.267577137076383,17.187658067779456
3176,2000-11-30,2000,BF-B,4.17,6.37,22.85,12.8,5.76,3.22,-0.5734699633355267,6.0449374823728474,15.493090156999134,6.988185892012152
3177,2000-11-30,2000,OXY,5.25,8.81,1.2,-6.66,3.5,13.41,-4.880066170388764,-14.217443249701322,-6.993842477713452,-8.697117299267845
3178,2000-11-30,2000,IVZ,14.08,-29.71,-25.31,22.96,59.8,36.47,127.34386114667804,74.93242281974676,6.259780907668233,69.51202162469768
3179,2000-11-30,2000,CAG,7.93,19.01,40.48,12.64,9.82,2.21,-7.722040164692034,-5.352491387278368,18.040500798252257,1.6553230820939515
3180,2000-11-30,2000,TT,8.34,7.12,-11.28,-10.88,-15.5,4.04,-21.116504854368934,-16.803584764749814,-17.176997759522028,-18.36569579288026
3181,2000-11-30,2000,ETN,6.83,3.7,6.33,-2.12,-7.2,7.22,-10.511089681774344,-5.61234329797492,2.5361620057859247,-4.5290903246544465
3182,2000-11-30,2000,HAS,5.9,7.56,-5.66,-28.62,-45.38,-8.11,-49.21904053551507,-33.63703979174415,-12.290814429155827,-31.715631585471684
3183,2000-11-30,2000,HD,22.72,-8.77,-18.38,-19.81,-25.51,16.59,-18.349227227885567,-12.101282472870755,-10.533815630823195,-13.66144177719317
3184,2000-11-30,2000,ADBE,31.48,-16.68,-2.48,12.65,84.71,-8.19,121.68746999519927,35.2016322611618,17.04272683629382,57.97727636421829
3185,2000-11-30,2000,AFL,10.5,-3.56,30.44,36.52,47.93,2.58,53.39070924927416,41.5595188718374,35.25508087930318,43.40176966680491
3186,2000-11-30,2000,CMI,5.02,4.81,0.38,10.46,-9.67,7.43,-13.815475622555107,5.390706993607486,-4.226695925961266,-4.2171548516362956
3187,2000-11-30,2000,IP,12.99,-6.33,7.03,-1.24,-33.45,20.48,-28.952706309384013,5.433970321340875,14.262837621436963,-3.085299455535391
3188,2000-11-30,2000,MBI,17.62,-5.25,5.08,19.99,39.93,7.94,47.68337730870713,26.638522427440627,10.902374670184688,28.40809146877748
3189,2000-11-30,2000,AEE,14.6,11.64,11.38,25.07,38.12,5.87,23.71909709781439,12.029738445001769,-0.23289143676102908,11.83864803535171
3190,2000-11-30,2000,NKE,3.95,6.73,7.87,-0.28,-6.75,31.11,-12.630000936943686,-6.567975264686588,1.0681158062400442,-6.04328679846341
3191,2000-11-30,2000,PCG,16.46,1.86,-4.31,8.05,28.87,-26.08,26.51678774788926,6.076968387983506,-6.057333595130565,8.8454741802474
3192,2000-11-30,2000,TIE,1.7,-7.62,-22.13,60.33,25.3,-0.94,35.63541892184456,73.55488200909288,-15.706862957350076,31.16114599119579
3193,2000-11-30,2000,D,10.62,1.78,14.62,34.17,39.65,11.67,37.20770288858321,31.823540970721155,12.615445077618382,27.215562978974248
3194,2000-11-30,2000,ANDV,3.92,-9.03,-1.94,-7.92,-21.35,23.17,-13.542926239419584,1.2201824777399173,7.79377816862703,-1.5096551976842125
3195,2000-11-30,2000,XOM,19.68,-0.85,8.32,6.72,13.34,-1.21,14.311649016641436,7.634896621280873,9.24861321230457,10.398386283408959
3196,2000-11-30,2000,VRSN,72.7,-34.33,-56.41,-35.96,-6.69,-14.42,42.08923404903304,-2.4821075072331444,-33.62265874828688,1.9948225978376708
3197,2000-11-30,2000,SO,6.17,8.66,6.56,24.66,41.92,5.35,30.609239830664457,14.724829744156075,-1.9326339039204998,14.467145223633345
3198,2000-11-30,2000,ETR,7.86,8.26,36.2,43.21,55.65,2.89,43.7742471827083,32.28339183447255,25.808239423609834,33.9552928135969
3199,2000-11-30,2000,CTSH,1.36,-9.76,-13.45,-33.93,23.46,-1.86,36.81294326241134,-26.784131205673745,-4.089095744680849,1.979905437352248
3200,2000-11-30,2000,MS,31.0,-21.09,-40.96,-10.96,6.14,25.05,34.50766696236216,12.837409707261438,-25.180585477125838,7.388163730832585
3201,2000-11-30,2000,LMT,17.85,-4.57,20.57,39.13,74.7,-0.44,83.06612176464424,45.79272765377762,26.343917007230424,51.73425547521743
3202,2000-11-30,2000,AMD,15.25,-32.6,-59.33,-62.69,7.96,-9.43,60.17804154302675,-44.64391691394658,-39.658753709198805,-8.041543026706213
3203,2000-11-30,2000,MCK,27.24,17.36,31.99,100.84,42.21,9.17,21.174164962508524,71.13156100886162,12.465916837082492,34.92388093615088
3204,2000-11-30,2000,T,7.52,-4.77,32.4,27.51,7.37,-13.08,12.748083587104908,33.896881234904974,39.03181770450488,28.558927508838252
3205,2000-11-30,2000,CBE,8.11,-0.15,4.41,12.87,32.5,4.68,32.69904857285928,13.03955933900851,4.566850275413126,16.768486062426973
3206,2000-11-30,2000,SYY,14.27,5.87,30.92,31.88,46.89,8.6,38.74563143477852,24.56786625106262,23.661093794276013,28.99153049337238
3207,2000-11-30,2000,LEG,6.43,0.31,-7.14,-17.53,-22.08,16.09,-22.32080550294089,-17.78486691257104,-7.426976373242955,-15.844216262918295
3208,2000-11-30,2000,QCOM,24.7,23.25,34.03,20.9,-11.4,2.41,-28.11359026369168,-1.9066937119675331,8.746450304259646,-7.091277890466523
3209,2000-11-30,2000,CPB,15.56,14.1,32.69,9.46,-22.94,3.75,-32.46275197195443,-4.066608238387381,16.29272567922875,-6.745544843704355
3210,2000-11-30,2000,VLO,3.84,-4.7,4.59,8.02,53.21,18.29,60.766002098635894,13.347324239244497,9.748163693599166,27.95383001049319
3211,2000-11-30,2000,CSCO,30.81,-11.14,-30.24,-15.92,7.36,-20.1,20.819266261534985,-5.3792482556831,-21.49448570785506,-2.018155900667725
3212,2000-11-30,2000,GWW,24.23,15.08,27.22,-7.5,-21.04,-0.17,-31.386861313868618,-19.621133124782762,10.549183176920396,-13.486270420576995
3213,2000-11-30,2000,HUM,10.48,-1.03,39.89,113.33,71.43,27.08,73.21410528442965,115.55016671718703,41.34586238254017,76.70337812805228
3214,2000-11-30,2000,NSC,8.49,3.23,-9.31,-17.26,-29.4,-7.39,-31.609028383221936,-19.848881139203723,-12.147631502470214,-21.201847008298625
3215,2000-11-30,2000,BA,45.12,2.06,29.03,77.69,72.07,-4.43,68.59690378208896,74.10346854791298,26.425631981187546,56.375334770396485
3216,2000-11-30,2000,ATI,13.88,-0.87,-7.77,-10.46,-17.99,-20.13,-17.270251185312212,-9.674165237566834,-6.960556844547561,-11.301657755808868
3217,2000-11-30,2000,PEG,7.8,3.01,19.63,18.24,30.41,15.19,26.599359285506253,14.78497233278322,16.134355887777872,19.17289583535578
3218,2000-11-30,2000,M,7.82,-6.33,10.34,-20.78,-35.19,14.75,-30.810291448702888,-15.426497277676942,17.796519696807934,-9.480089676523965
3219,2000-11-30,2000,VTRS,8.19,-14.51,-9.75,-10.38,2.3,5.39,19.66311849339104,4.830974382968778,5.567902678675862,10.020665185011893
3220,2000-11-30,2000,FLS,5.15,4.04,13.18,30.86,22.26,2.09,17.512495194156095,25.778546712802775,8.785082660515187,17.35870818915802
3221,2000-11-30,2000,ADI,30.32,-23.65,-50.38,-35.55,72.61,3.15,126.07727570399474,-15.586116568434838,-35.00982318271121,25.160445317616233
3222,2000-11-30,2000,ORCL,21.19,-19.7,-41.72,-26.26,56.31,9.67,94.65753424657532,-8.169364881693653,-27.422166874221677,19.688667496886666
3223,2000-11-30,2000,AIV,0.64,2.25,4.17,18.33,32.09,8.56,29.183374083129586,15.726161369193159,1.8777506112469533,15.595762021189898
3224,2000-11-30,2000,EOG,7.16,7.78,11.04,30.83,130.56,28.72,113.91723881981815,21.386156986453877,3.0246799035071437,46.10935856992639
3225,2000-11-30,2000,AES,33.11,-8.19,-18.49,18.91,79.07,6.75,95.04411284173837,29.517481755800024,-11.218821479141706,37.78092437279889
3226,2000-11-30,2000,EMN,9.26,0.73,1.18,-3.34,15.82,13.96,14.980641318375842,-4.0405043184751355,0.4467388067110001,3.7956252688705683
3227,2000-11-30,2000,GLW,38.2,-23.53,-46.49,-8.93,87.77,-9.65,145.54727344056494,19.092454557342762,-30.02484634497189,44.871627217645276
3228,2000-11-30,2000,GIS,9.42,-1.5,28.93,5.16,12.5,8.36,14.213197969543145,6.761421319796956,30.893401015228417,17.28934010152284
3229,2000-11-30,2000,FHN,11.91,9.78,15.93,25.72,-19.98,15.58,-27.108762980506462,14.519948988886888,5.602113317544188,-2.3289002246917954
3230,2000-11-30,2000,PWR,30.59,0.4,-33.29,-36.35,67.08,3.21,66.41434262948205,-36.60358565737051,-33.55577689243028,-1.24833997343958
3231,2000-11-30,2000,TXT,19.67,0.37,-9.17,-18.37,-27.62,-7.49,-27.88681877054897,-18.670917604862012,-9.50483212115174,-18.68752283218757
3232,2000-11-30,2000,NOC,22.76,0.84,8.84,11.15,57.62,-1.56,56.307021023403415,10.22411741372471,7.933359777865934,24.82149940499802
3233,2000-11-30,2000,TSN,9.23,25.52,52.84,42.81,-18.2,-8.93,-34.831102613129374,13.774697259400925,21.76545570427024,0.23635011684726356
3234,2000-11-30,2000,DOV,17.26,-3.26,-16.03,-11.49,-4.87,-0.92,-1.664254703328505,-8.507339259871827,-13.200330783543524,-7.790641582247953
3235,2000-11-30,2000,AET,7.57,16.43,20.34,0.84,23.23,22.01,5.840419135961539,-13.390019754358839,3.3582410031778975,-1.397119871739801
3236,2000-11-30,2000,PNC,30.9,-0.56,13.67,34.71,23.8,9.87,24.49718423169751,35.468624296057925,14.310136765888991,24.75864843121481
3237,2000-11-30,2000,ADM,6.78,16.44,45.09,13.24,10.23,17.65,-5.333218825146002,-2.748196496049471,24.604946753692893,5.507843810832473
3238,2000-11-30,2000,CCL,14.1,-8.15,14.22,-15.56,-47.69,35.81,-43.048448557430596,-8.06750136091453,24.354926510615126,-8.920341135909998
3239,2000-11-30,2000,APH,1.45,-16.93,-16.6,16.67,56.27,-26.58,88.11845431563741,40.44781509570243,0.3972553268327905,42.987841579390874
3240,2000-11-30,2000,TPR,1.78,-5.35,0.0,0.0,0.0,29.94,5.652403592181732,5.652403592181732,5.652403592181732,5.652403592181732
3241,2000-11-30,2000,VNO,9.12,7.72,1.35,8.62,23.71,3.72,14.844040103973288,0.835499443000387,-5.913479391013732,3.255353385319981
3242,2000-11-30,2000,NBR,938.6,-13.67,-7.62,2.19,65.42,34.62,91.61357581373797,18.371365689794985,7.0079925865863535,38.99764469670644
3243,2000-11-30,2000,ADP,30.12,1.05,10.82,20.35,34.57,-3.92,33.17169717961406,19.099455714992587,9.66848095002475,20.646544614877133
3244,2000-11-30,2000,FITB,25.49,4.38,16.52,19.22,17.01,11.75,12.10001916075878,14.217283004406966,11.6305805709906,12.649294245385448
3245,2000-11-30,2000,WY,7.0,-5.99,-4.75,-10.32,-26.29,16.0,-21.593447505584507,-4.60589299010744,1.3190086161046555,-8.293443959862431
3246,2000-11-30,2000,HSY,17.58,17.0,48.86,23.27,31.58,1.78,12.461538461538456,5.358974358974367,27.230769230769237,15.017094017094019
3247,2000-11-30,2000,TROW,8.94,-22.03,-19.12,-3.87,2.72,16.21,31.742978068487893,23.291009362575355,3.732204694113128,19.588730708392127
3248,2000-11-30,2000,DVN,14.75,-2.28,-15.85,-17.52,40.34,23.91,43.61440851412199,-15.595579205894394,-13.886614817846898,4.710738163460232
3249,2000-11-30,2000,WHR,18.14,-9.26,3.83,-29.81,-34.02,21.88,-27.286753361251936,-22.647123649988988,14.425832047608544,-11.83601498787746
3250,2000-11-30,2000,AEP,15.87,12.49,32.85,33.56,56.85,1.09,39.43461641034758,18.730553827006837,18.0993866121433,25.421518949832574
3251,2000-11-30,2000,AIG,1137.65,-1.05,8.79,29.28,40.41,1.68,41.89994946942899,30.65184436584132,9.944416371904996,27.4987367357251
3252,2000-11-30,2000,WFC,11.89,2.96,10.37,5.95,4.22,17.39,1.2237762237762073,2.9040404040403978,7.1969696969696795,3.7749287749287617
3253,2000-11-30,2000,EQT,5.37,-3.39,-0.5,13.22,64.27,19.73,70.0341579546631,17.19283718041613,2.991408756857483,30.07280129731224
3254,2000-11-30,2000,SVU,89.71,18.82,22.29,-11.42,-3.75,-23.45,-18.995118666891088,-25.45026089883857,2.920383773775481,-13.841665263984725
3255,2000-11-30,2000,HAL,11.08,-9.64,-36.68,-34.1,-12.55,8.61,-3.2204515272244216,-27.06949977866312,-29.92474546259407,-20.071565589493872
3256,2000-11-30,2000,USB,8.22,-1.59,-18.3,-23.08,-23.25,20.82,-22.009958337567326,-21.83721166548115,-16.979981709175895,-20.275717237408124
3257,2000-11-30,2000,SHW,5.02,0.58,-4.59,-5.02,5.17,20.63,4.563531517200237,-5.567707297673497,-5.140186915887856,-2.048120898787039
3258,2000-11-30,2000,CVX,15.88,0.47,-2.37,-10.04,-4.64,3.13,-5.08609535184632,-10.46083407982482,-2.8267144421220247,-6.124547957931056
3259,2000-11-30,2000,KR,9.28,17.45,16.72,33.33,24.34,2.12,5.866326096211161,13.520647083865466,-0.6215410813112054,6.255144032921808
3260,2000-11-30,2000,UNM,14.59,-4.42,25.08,20.52,-14.77,-0.46,-10.828625235404887,26.09332496338146,30.864197530864203,15.376299086280257
3261,2000-11-30,2000,ITT,4.08,2.76,-0.53,-2.74,-2.61,16.32,-5.225768781627105,-5.352277150642282,-3.2016348773841963,-4.593226936551194
