Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),모멘텀스코어,12-1개월(%),6-1개월(%),3-1개월(%),시장,종목명,현재순위,전달순위,Month
54683,2013-03-31,2013,NFLX,2.7,0.64,104.43,247.69,64.53,14.15,172.113,63.89,247.05,103.79,S&P500,NFLX,1.0,0,3
54857,2013-03-31,2013,BMC,2380.0,0.0,0.0,347.37,0.0,0.0,138.948,0.0,347.37,0.0,S&P500,BMC,2.0,0,3
54899,2013-03-31,2013,BBY,14.05,36.02,88.37,31.59,-2.02,17.34,70.893,-38.040000000000006,-4.430000000000003,52.35,S&P500,BBY,3.0,0,3
54818,2013-03-31,2013,HRB,18.47,19.19,59.56,72.95,86.58,-5.71,68.953,67.39,53.760000000000005,40.370000000000005,S&P500,HRB,4.0,0,3
54858,2013-03-31,2013,THC,47.58,21.04,46.54,89.71,124.01,-4.67,66.358,102.97,68.66999999999999,25.5,S&P500,THC,5.0,0,3
54756,2013-03-31,2013,MU,9.73,19.09,57.41,66.89,23.21,-5.61,65.03399999999999,4.120000000000001,47.8,38.31999999999999,S&P500,MU,6.0,0,3
54876,2013-03-31,2013,HPQ,7.19,19.12,68.36,41.97,3.02,-13.59,62.727999999999994,-16.1,22.849999999999998,49.239999999999995,S&P500,HPQ,7.0,0,3
54658,2013-03-31,2013,GNW,10.0,17.1,33.16,91.2,20.19,0.3,57.982,3.09,74.1,16.059999999999995,S&P500,GNW,8.0,0,3
54821,2013-03-31,2013,CPAY,76.67,9.83,42.91,71.14,97.76,0.3,57.51,87.93,61.31,33.08,S&P500,CPAY,9.0,0,3
54691,2013-03-31,2013,MPC,30.69,8.11,42.82,65.89,111.77,-12.54,55.519,103.66,57.78,34.71,S&P500,MPC,10.0,0,3
54908,2013-03-31,2013,SEE,19.45,8.55,38.53,58.11,28.89,-8.25,49.36,20.34,49.56,29.98,S&P500,SEE,11.0,0,3
54874,2013-03-31,2013,CTRA,24.24,9.1,35.98,50.7,117.3,0.65,44.556,108.2,41.6,26.879999999999995,S&P500,CTRA,12.0,0,3
54794,2013-03-31,2013,SW,10.91,4.1,35.42,50.05,77.98,-9.23,44.403999999999996,73.88000000000001,45.949999999999996,31.32,S&P500,SW,13.0,0,3
54682,2013-03-31,2013,UNM,19.21,15.45,36.45,48.76,18.14,-0.8,43.474000000000004,2.6900000000000013,33.31,21.000000000000004,S&P500,UNM,14.0,0,3
54849,2013-03-31,2013,PSX,44.56,11.13,32.42,52.48,0.0,-12.89,42.573,-11.13,41.349999999999994,21.29,S&P500,PSX,15.0,0,3
54741,2013-03-31,2013,STZ,40.52,7.69,34.61,47.26,101.95,3.59,42.361999999999995,94.26,39.57,26.919999999999998,S&P500,STZ,16.0,0,3
54750,2013-03-31,2013,LUV,11.67,15.31,31.75,54.0,64.27,1.63,42.294,48.959999999999994,38.69,16.439999999999998,S&P500,LUV,17.0,0,3
54626,2013-03-31,2013,VLO,25.98,-0.22,33.9,45.08,80.7,-11.37,41.78399999999999,80.92,45.3,34.12,S&P500,VLO,18.0,0,3
54652,2013-03-31,2013,TSN,18.86,9.48,28.22,56.51,31.53,-0.77,41.41,22.05,47.03,18.74,S&P500,TSN,19.0,0,3
54727,2013-03-31,2013,GILD,33.81,14.56,33.26,47.57,100.33,3.47,40.854,85.77,33.01,18.699999999999996,S&P500,GILD,20.0,0,3
54712,2013-03-31,2013,TRIP,46.7,15.33,25.29,59.49,47.24,0.11,39.966,31.910000000000004,44.160000000000004,9.959999999999999,S&P500,TRIP,21.0,0,3
54605,2013-03-31,2013,ANDV,52.15,4.11,33.42,40.78,120.44,-8.8,39.295,116.33,36.67,29.310000000000002,S&P500,ANDV,22.0,0,3
54764,2013-03-31,2013,BSX,7.81,5.68,36.3,36.06,30.6,-4.1,39.266,24.92,30.380000000000003,30.619999999999997,S&P500,BSX,23.0,0,3
54805,2013-03-31,2013,HRL,15.27,10.45,33.05,42.74,42.88,0.3,39.18599999999999,32.43000000000001,32.290000000000006,22.599999999999998,S&P500,HRL,24.0,0,3
54620,2013-03-31,2013,NDAQ,8.75,2.43,29.77,40.02,26.6,-8.73,36.604,24.17,37.59,27.34,S&P500,NDAQ,25.0,0,3
54692,2013-03-31,2013,J,42.95,15.15,32.11,39.1,26.75,-10.24,36.602,11.6,23.950000000000003,16.96,S&P500,J,26.0,0,3
54934,2013-03-31,2013,GEN,8.82,5.29,31.14,37.26,31.98,-1.54,36.173,26.69,31.97,25.85,S&P500,GEN,27.0,0,3
54861,2013-03-31,2013,R,41.55,6.32,20.31,54.89,16.22,-2.81,35.541000000000004,9.899999999999999,48.57,13.989999999999998,S&P500,R,28.0,0,3
54695,2013-03-31,2013,BLK,186.23,7.9,25.14,46.19,29.48,3.74,35.284,21.58,38.29,17.240000000000002,S&P500,BLK,29.0,0,3
54681,2013-03-31,2013,KR,12.98,13.45,28.04,42.38,39.74,3.74,35.235,26.290000000000003,28.930000000000003,14.59,S&P500,KR,30.0,0,3
54690,2013-03-31,2013,PBI,8.33,13.44,43.54,14.18,-5.61,-8.01,34.806,-19.05,0.7400000000000002,30.1,S&P500,PBI,31.0,0,3
