기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NASDAQ,Sandisk Corp,SNDK,0,635.34,-0.0,167.6,466.3,1234.5,614.1,10.43,
2026-03-31,NASDAQ,Lumentum Holdings Inc,LITE,0,702.76,0.3,90.7,331.9,1027.3,443.8,17.66,
2026-03-31,NYSE,Ciena Corp,CIEN,0,388.23,11.3,66.0,166.5,542.4,238.9,15.33,
2026-03-31,NASDAQ,Western Digital Corp,WDC,0,270.49,-3.3,57.0,125.3,569.0,223.7,9.05,
2026-03-31,NASDAQ,Tower Semiconductor Ltd,TSEM,0,175.48,40.5,49.4,142.7,392.1,169.1,12.72,
2026-03-31,NASDAQ,Teradyne Inc,TER,0,296.46,-7.4,53.2,115.4,258.9,155.7,4.44,
2026-03-31,NASDAQ,Seagate Technology Holdings PLC,STX,0,391.76,-3.9,42.3,66.0,361.2,141.0,9.6,
2026-03-31,NASDAQ,Micron Technology Inc,MU,0,337.84,-18.1,18.4,101.9,288.8,132.5,8.41,
2026-03-31,NYSE,Vertiv Holdings Co,VRT,0,250.58,-1.7,54.7,66.1,247.1,127.0,4.27,
2026-03-31,NASDAQ,Moderna Inc,MRNA,0,50.8,-5.2,72.3,96.7,79.2,124.6,-3.15,
2026-03-31,NYSE,Corning Inc,GLW,0,135.97,-9.6,55.3,65.8,197.0,121.3,8.79,
2026-03-31,NASDAQ,MKS Incorporated,MKSI,0,229.81,-6.0,43.8,85.7,186.7,118.2,2.11,
2026-03-31,NASDAQ,Revolution Medicines Inc,RVMD,0,97.25,-4.7,22.1,108.2,175.0,109.1,1.92,
2026-03-31,NASDAQ,EchoStar Corp,SATS,0,117.07,1.3,7.7,53.3,357.7,103.7,9.92,
2026-03-31,NASDAQ,Roivant Sciences Ltd,ROIV,0,27.7,-4.3,27.6,83.1,174.5,100.7,2.27,
2026-03-31,NASDAQ,AST SpaceMobile Inc,ASTS,0,82.87,4.6,14.1,68.8,264.4,96.3,11.77,
