기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-05-31,NASDAQ,Sandisk Corp,SNDK,0,1694.98,54.6,166.8,659.1,4397.2,72.58,391.09,2809.29,374.9,3.92,1.0
2026-05-31,NASDAQ,Micron Technology Inc,MU,0,971.0,87.8,135.5,310.6,927.9,25.41,118.69,447.49,210.3,6.64,18.0
2026-05-31,NYSE,Dell Technologies Inc,DELL,0,420.91,101.4,184.2,215.6,278.3,41.11,56.69,87.79,205.1,10.7,13.0
2026-05-31,NASDAQ,Arm Holdings PLC ADR,ARM,0,353.29,68.0,177.2,160.6,183.7,65.02,55.15,68.88,181.5,15.73,11.0
2026-05-31,NASDAQ,Intel Corp,INTC,0,114.68,21.4,151.4,182.7,486.6,107.15,132.94,383.27,177.0,-4.67,5.0
2026-05-31,NASDAQ,Astera Labs  Inc,ALAB,0,342.85,76.1,188.5,117.6,277.9,63.88,23.59,114.66,171.4,-6.64,94.0
2026-05-31,NASDAQ,Seagate Technology Holdings PLC,STX,0,879.8,30.6,115.7,218.0,646.0,65.17,143.46,471.17,165.1,4.71,6.0
2026-05-31,NASDAQ,Rocket Lab Corp,RKLB,0,143.48,73.9,107.6,240.5,435.6,19.41,95.8,207.99,164.2,-14.7,107.0
2026-05-31,NASDAQ,Advanced Micro Devices Inc,AMD,0,516.1,45.6,157.8,137.3,366.1,77.06,62.96,220.14,160.8,-1.16,31.0
2026-05-31,NASDAQ,Nebius Group NV,NBIS,0,231.09,67.2,153.4,143.6,528.8,51.58,45.7,276.14,158.1,14.46,32.0
2026-05-31,NASDAQ,Marvell Technology Inc,MRVL,0,205.0,24.1,150.9,129.3,240.6,102.17,84.73,174.38,155.0,7.04,7.0
2026-05-31,NASDAQ,Flex Ltd,FLEX,0,150.78,64.7,139.3,155.1,256.5,45.27,54.88,116.43,153.0,-1.84,27.0
