단축코드,액면가
042660,5000
005930,100
005380,5000
000270,5000
034020,5000
010120,1000
035420,100
207940,2500
373220,500
032830,500
000660,5000
005935,100
005490,5000
298040,5000
006800,5000
012450,5000
012330,5000
006400,5000
267260,5000
009150,5000
009540,5000
068270,1000
055550,5000
028260,100
015760,5000
105560,5000
010130,5000
329180,5000
402340,100
086790,5000
035720,100
030200,5000
064350,5000
017670,100
247540,500
267250,1000
316140,5000
047810,5000
086520,100
096770,5000
079550,5000
272210,5000
010140,1000
196170,500
051910,5000
034730,200
138040,500
011200,5000
278470,100
000810,500
000720,5000
033780,5000
003670,500
003550,5000
066570,5000
042700,100
000150,5000
071050,5000
024110,5000
086280,500
000880,5000
0126Z0,2500
016360,5000
047040,5000
005830,500
298380,500
326030,500
090430,500
058470,100
005387,5000
259960,100
011070,5000
028050,5000
443060,500
950160,0
323410,5000
277810,500
003230,5000
010950,2500
039490,5000
047050,5000
000250,500
003490,5000
352820,500
267270,5000
005940,5000
307950,500
006260,5000
007660,1000
018260,500
141080,500
000100,1000
062040,500
241560,500
005385,5000
310210,500
377300,500
032640,5000
240810,500
088980,0
064400,500
052690,200
001440,1000
028300,500
066970,500
454910,500
087010,500
021240,500
138930,5000
271560,500
034220,5000
175330,5000
029780,5000
001040,5000
009830,5000
039030,500
078930,5000
180640,2500
128940,2500
161390,500
489790,500
082740,1000
036570,500
011790,5000
403870,500
035250,500
000990,5000
353200,500
022100,500
251270,100
095340,500
450080,500
103590,1000
004020,5000
018880,100
375500,5000
032820,500
012510,500
088350,5000
010060,5000
111770,500
017800,5000
214150,100
002380,5000
263750,100
097950,5000
051900,5000
108490,500
214370,100
011170,5000
036930,500
023530,5000
347850,500
440110,100
012750,500
031210,2500
036460,5000
226950,500
237690,500
302440,500
028670,1000
011780,5000
010170,500
043260,500
006360,5000
001720,5000
145020,500
0009K0,500
439260,5000
009970,500
085620,5000
319400,100
014680,5000
214450,500
004990,200
004170,5000
139130,5000
357780,500
084370,500
457190,1000
222800,500
336260,100
051600,200
005290,500
257720,500
017960,500
218410,500
031980,500
00680K,5000
139480,5000
383220,100
004800,5000
009420,500
319660,500
000120,5000
476830,500
026960,500
005850,500
020150,500
008930,500
064760,500
001450,500
103140,5000
178320,500
083650,500
279570,5000
140410,500
071970,2500
112610,500
068760,500
120110,5000
058610,500
000240,500
483650,100
204320,1000
192820,500
097230,5000
395400,0
298020,5000
030000,200
475150,200
023590,500
035900,500
007340,100
018670,5000
282330,1000
089030,500
001430,5000
000155,5000
003690,500
041510,500
067310,500
081660,1000
039200,500
004370,5000
030530,500
002790,500
005440,500
101490,500
011210,5000
347700,500
008770,5000
462870,200
082920,500
458870,500
006280,5000
038500,500
099320,500
131970,500
012630,5000
140860,500
007810,500
001120,5000
475830,100
000500,5000
069620,2500
095610,500
073240,5000
290650,500
006040,1000
078600,500
322000,5000
069960,5000
003570,2500
361610,1000
005070,1000
161890,500
098460,100
003540,5000
007070,1000
232140,100
491000,500
065350,500
323280,100
085660,500
100790,1000
100090,500
003530,3530
060370,1000
003380,100
437730,500
127120,500
020560,5000
417200,500
376900,500
032350,500
229640,500
001800,500
330590,0
007310,5000
080220,500
445680,500
294870,5000
082640,5000
195940,500
281740,100
183300,500
030610,5000
000210,5000
077970,2500
034230,500
023160,500
007390,500
388210,500
213420,200
048410,500
004000,5000
003240,5000
100840,500
003090,500
090710,500
131290,500
051915,5000
490470,1000
189300,500
096530,500
115180,500
181710,500
185750,2500
420770,200
300720,500
415640,0
137400,500
000815,500
000080,5000
456160,500
089860,5000
397030,1000
001740,2500
160190,500
089970,100
124500,500
166090,500
082270,500
035760,5000
365550,0
093370,500
036540,500
086450,500
032500,500
466100,500
036830,500
005300,500
052020,500
014620,500
000670,500
293490,100
280360,500
050890,500
484870,100
192080,500
006120,5000
328130,500
451800,0
006650,5000
281820,500
005690,500
295310,500
056190,500
137310,500
253450,500
388720,500
204270,500
036530,500
027360,500
192400,100
285130,5000
174900,500
075580,500
071055,5000
003030,5000
003470,5000
195870,5000
009450,1000
079900,500
122870,500
298050,5000
00088K,5000
222080,100
161580,500
009240,1000
006110,500
005880,500
476060,500
078160,500
241710,500
032190,500
064960,5000
057050,5000
044490,500
066575,5000
248070,500
056080,500
030190,500
071320,5000
052400,500
003160,500
001510,500
499790,1000
006730,500
074600,500
358570,500
249420,1000
036810,500
121600,500
456040,5000
108320,500
171090,500
003280,500
493280,500
004490,500
010780,500
372320,500
389470,500
003850,500
348210,500
348370,500
317450,500
033100,500
278280,500
033500,500
187660,100
225570,500
017900,500
365340,500
126340,500
496320,100
079160,500
005090,5000
001270,5000
011930,500
002020,5000
003620,1000
000370,5000
025540,500
253590,100
217590,100
003000,500
090460,500
327260,500
356860,500
009520,500
086900,500
007700,500
114090,500
001680,1000
368770,100
014820,5000
102710,500
001060,2500
376300,500
214320,500
024850,500
093050,5000
293940,0
033240,500
069260,1000
00104K,5000
178920,500
002350,500
005180,5000
425420,100
214430,500
348340,500
102940,500
475960,500
399720,500
112040,500
025980,100
053800,500
067160,500
033790,500
336370,100
060250,500
015750,500
008730,500
336570,100
486990,100
200710,500
083450,500
000400,1000
005810,5000
053610,500
058650,5000
002960,5000
017940,5000
094800,0
005250,500
001820,1000
084110,500
001500,5000
161000,500
042000,500
009155,5000
031330,500
460930,500
468530,100
001570,500
003545,5000
272290,500
383310,500
039130,500
041960,100
002840,500
000640,5000
199800,500
383800,1000
268280,500
006380,500
046890,500
252990,500
064260,500
002240,1000
005420,1000
033640,500
060280,500
130660,500
009410,500
077360,200
094170,500
287840,500
211050,100
271940,500
019170,500
122640,500
002030,5000
138490,1000
010820,500
047920,500
251970,500
090360,500
025900,200
016380,5000
014830,5000
016610,5000
099190,500
