종목코드,종목명,시장구분,시가총액(억)
005930,삼성전자,KOSPI,12715655
000660,SK하이닉스,KOSPI,8716349
005935,삼성전자우,KOSPI,1213987
373220,LG에너지솔루션,KOSPI,1133730
005380,현대차,KOSPI,1107739
402340,SK스퀘어,KOSPI,950100
034020,두산에너빌리티,KOSPI,742410
012450,한화에어로스페이스,KOSPI,730137
207940,삼성바이오로직스,KOSPI,722601
329180,HD현대중공업,KOSPI,672801
000270,기아,KOSPI,624660
009150,삼성전기,KOSPI,606512
105560,KB금융,KOSPI,586866
006400,삼성SDI,KOSPI,531058
032830,삼성생명,KOSPI,495000
028260,삼성물산,KOSPI,488128
055550,신한지주,KOSPI,468009
068270,셀트리온,KOSPI,452754
012330,현대모비스,KOSPI,414194
042660,한화오션,KOSPI,413658
267260,HD현대일렉트릭,KOSPI,392913
006800,미래에셋증권,KOSPI,386660
010130,고려아연,KOSPI,354423
035420,NAVER,KOSPI,335664
086790,하나금융지주,KOSPI,332599
005490,POSCO홀딩스,KOSPI,331625
009540,HD한국조선해양,KOSPI,327679
015760,한국전력,KOSPI,297550
010120,LS ELECTRIC,KOSPI,291300
298040,효성중공업,KOSPI,287569
010140,삼성중공업,KOSPI,279840
042700,한미반도체,KOSPI,279741
051910,LG화학,KOSPI,276721
034730,SK,KOSPI,276597
064350,현대로템,KOSPI,259212
316140,우리금융지주,KOSPI,256192
272210,한화시스템,KOSPI,253340
000150,두산,KOSPI,232867
003670,포스코퓨처엠,KOSPI,229036
096770,SK이노베이션,KOSPI,226530
079550,LIG디펜스앤에어로스페이스,KOSPI,224400
086520,에코프로,KOSDAQ GLOBAL,223080
066570,LG전자,KOSPI,216313
017670,SK텔레콤,KOSPI,215434
035720,카카오,KOSPI,214633
247540,에코프로비엠,KOSDAQ GLOBAL,213270
267250,HD현대,KOSPI,208936
000810,삼성화재,KOSPI,206048
011200,HMM,KOSPI,196665
033780,KT&G,KOSPI,196097
138040,메리츠금융지주,KOSPI,195196
196170,알테오젠,KOSDAQ GLOBAL,192454
000720,현대건설,KOSPI,187968
047810,한국항공우주,KOSPI,181108
024110,기업은행,KOSPI,178224
086280,현대글로비스,KOSPI,176625
278470,에이피알,KOSPI,162481
030200,KT,KOSPI,155749
003550,LG,KOSPI,147590
071050,한국금융지주,KOSPI,143773
047050,포스코인터내셔널,KOSPI,141793
0126Z0,삼성에피스홀딩스,KOSPI,139842
018260,삼성에스디에스,KOSPI,139357
047040,대우건설,KOSPI,133750
010950,S-Oil,KOSPI,128456
005940,NH투자증권,KOSPI,126858
259960,크래프톤,KOSPI,125863
307950,현대오토에버,KOSPI,121899
007660,이수페타시스,KOSPI,118482
011070,LG이노텍,KOSPI,118335
323410,카카오뱅크,KOSPI,117610
039490,키움증권,KOSPI,116379
277810,레인보우로보틱스,KOSDAQ,115623
005830,DB손해보험,KOSPI,112726
006260,LS,KOSPI,110760
352820,하이브,KOSPI,107755
443060,HD현대마린솔루션,KOSPI,104232
003230,삼양식품,KOSPI,103202
028050,삼성E&A,KOSPI,99176
016360,삼성증권,KOSPI,97694
000880,한화,KOSPI,96022
000250,삼천당제약,KOSDAQ,94533
003490,대한항공,KOSPI,92791
058470,리노공업,KOSDAQ GLOBAL,91606
