기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-09,KOSDAQ,성호전자,043260,29149,41100,449831,8.9,136.3,1944.8,3182.7,1713.6,1,116.99,1777.69,2914.42
2026-04-09,KOSDAQ,대한광통신,010170,22047,14180,26673787,95.9,309.8,583.7,2396.5,971.1,3,109.19,249.0,1174.37
2026-04-09,KOSPI,대우건설,047040,97047,23350,98170514,50.2,369.8,522.7,558.7,643.8,5,212.78,314.58,338.55
2026-04-09,KOSDAQ,페니트리움바이오,187660,8209,14800,3507210,33.9,337.9,421.1,813.6,626.6,4,227.04,289.17,582.3
2026-04-09,KOSDAQ,우리기술,032820,37555,21950,12532547,7.6,143.1,355.4,992.0,486.8,2,125.93,323.23,914.87
2026-04-09,KOSDAQ,삼표시멘트,038500,18205,16870,3724437,14.0,100.8,461.4,437.3,391.8,7,76.14,392.46,371.32
2026-04-09,KOSPI,HD현대에너지솔루션,322000,18390,164200,1025304,18.0,209.2,189.1,474.1,347.7,11,162.03,145.0,386.53
2026-04-09,KOSDAQ,스피어,347700,20616,41800,1021304,-3.2,53.7,407.3,326.5,313.5,8,58.78,424.07,340.6
2026-04-09,KOSPI,코리아써키트,007810,19545,81500,505428,16.4,15.3,294.7,704.5,292.3,13,-0.95,239.09,591.15
2026-04-09,KOSPI,SK이터닉스,475150,20065,58900,1603621,8.5,190.1,183.2,246.9,288.8,24,167.37,161.01,219.72
2026-04-09,KOSDAQ,아주IB투자,027360,10430,8610,2654493,6.0,79.7,310.0,271.9,270.2,10,69.53,286.79,250.85
2026-04-09,KOSDAQ,ISC,095340,57444,271000,595818,16.3,79.8,240.0,446.9,265.1,18,54.6,192.35,370.25
2026-04-09,KOSDAQ,미래에셋벤처투자,100790,15193,28600,1315700,6.9,62.5,235.7,493.4,263.1,12,52.01,214.03,455.1
2026-04-09,KOSDAQ,파두,440110,27291,54500,639846,18.6,156.5,114.6,413.7,255.9,28,116.27,80.94,333.14
2026-04-09,KOSDAQ,RFHIC,218410,22782,85800,505753,14.4,79.3,156.9,454.3,225.5,16,56.73,124.56,384.53
2026-04-09,KOSDAQ,비츠로셀,082920,18838,41550,1076677,16.7,97.9,200.5,245.2,219.2,46,69.58,157.5,195.8
2026-04-09,KOSPI,미래에셋증권,006800,375949,67700,2187495,9.9,59.1,158.5,473.8,216.3,9,44.77,135.21,422.11
2026-04-09,KOSDAQ,아이티센글로벌,124500,11544,49750,149953,9.0,-7.5,166.0,638.1,200.1,14,-15.14,144.04,577.16
2026-04-09,KOSPI,현대건설,000720,204226,183400,1607503,29.1,78.8,160.9,340.9,197.1,23,38.5,102.09,241.52
2026-04-09,KOSDAQ,현대무벡스,319400,33524,30100,2375362,26.2,-4.7,198.0,569.6,196.0,21,-24.48,136.13,430.59
2026-04-09,KOSPI,대덕전자,353200,43190,87400,1172823,14.0,38.1,130.3,526.1,193.8,30,21.14,102.02,449.21
2026-04-09,KOSDAQ,제이에스링크,127120,13988,41000,113376,8.0,96.6,95.7,316.7,184.5,27,82.04,81.2,285.83
2026-04-09,KOSPI,삼성전기,009150,385419,516000,485830,26.6,84.9,110.6,338.4,177.6,51,46.05,66.35,246.29
2026-04-09,KOSDAQ,에이치브이엠,295310,9802,81500,155585,10.9,-6.9,251.3,288.1,172.3,41,-16.05,216.77,249.95
2026-04-09,KOSDAQ,HLB이노베이션,024850,7271,4620,0,7.3,82.6,147.9,119.5,160.3,49,70.18,131.03,104.57
2026-04-09,KOSDAQ,피에스케이,319660,24129,83300,363025,4.8,35.4,120.7,368.0,159.9,29,29.2,110.59,346.56
2026-04-09,KOSPI,코오롱인더,120110,24767,90000,335359,23.3,63.6,152.8,198.5,155.4,60,32.68,105.03,142.09
2026-04-09,KOSPI,DL이앤씨,375500,36488,94300,2450787,41.2,112.4,120.8,117.0,153.2,127,50.42,56.37,53.68
2026-04-09,KOSPI,SK스퀘어,402340,739687,560000,478849,20.0,-1.8,115.4,529.9,152.3,40,-18.17,79.5,424.92
2026-04-09,KOSDAQ,에스피지,058610,23951,108000,350440,3.3,-29.7,219.5,332.0,150.8,17,-31.95,209.29,318.2
2026-04-09,KOSDAQ,에스티큐브,052020,10462,15390,285719,-8.4,93.3,80.2,150.7,149.1,54,111.03,96.72,173.69
2026-04-09,KOSDAQ,앱클론,174900,10102,50700,203608,-10.6,-19.9,133.6,451.7,146.5,15,-10.4,161.3,517.11
2026-04-09,KOSDAQ,기가비스,420770,10229,80700,83576,11.0,49.7,133.2,220.2,144.9,32,34.86,110.09,188.47
2026-04-09,KOSPI,한화시스템,272210,259008,137100,1522186,20.2,45.5,128.9,251.5,141.1,38,21.05,90.43,192.43
2026-04-09,KOSDAQ,티에스이,131290,13174,119100,83038,12.7,52.1,129.5,190.5,138.2,67,34.96,103.64,157.76
2026-04-09,KOSPI,미래에셋생명,085620,28535,16120,227004,-0.1,71.1,83.8,195.8,138.0,48,71.27,83.98,196.1
2026-04-09,KOSDAQ,현대바이오,048410,13655,14150,1226585,6.4,25.8,171.1,163.3,135.6,19,18.23,154.79,147.46
2026-04-09,KOSPI,OCI홀딩스,010060,37340,200000,216805,6.5,73.3,75.1,209.1,134.8,63,62.72,64.41,190.23
2026-04-09,KOSDAQ,삼천당제약,000250,118225,504000,657551,-39.2,4.9,115.4,258.2,132.8,6,72.53,254.28,489.14
2026-04-09,KOSDAQ,로킷헬스케어,376900,14668,93200,235538,-25.3,53.8,146.9,0.0,129.1,26,105.89,230.52,33.87
2026-04-09,KOSPI,SK하이닉스,000660,7112769,998000,4340285,23.7,9.8,78.5,462.3,127.7,45,-11.24,44.3,354.57
2026-04-09,KOSPI,세아베스틸지주,001430,24924,69500,160899,7.9,-4.5,152.7,289.1,126.6,47,-11.49,134.2,260.61
2026-04-09,KOSPI,한미반도체,042700,272592,286000,646513,13.9,35.5,99.0,275.8,126.1,25,18.96,74.71,229.94
2026-04-09,KOSPI,LS ELECTRIC,010120,236400,788000,0,9.7,39.2,81.1,287.2,124.5,35,26.89,65.09,252.96
2026-04-09,KOSDAQ,원익IPS,240810,57968,118100,457672,9.3,3.2,84.0,420.3,124.0,33,-5.58,68.34,376.03
2026-04-09,KOSDAQ,브이엠,089970,10558,43250,234240,11.6,43.9,79.5,272.8,123.6,57,28.94,60.84,234.05
2026-04-09,KOSPI,에이피알,278470,136836,365500,868166,8.5,35.4,43.3,385.4,122.8,71,24.79,32.07,347.37
2026-04-09,KOSDAQ,인텔리안테크,189300,12305,114600,127942,3.3,9.0,153.5,198.4,122.0,37,5.52,145.4,188.87
2026-04-09,KOSDAQ,쎄트렉아이,099320,17390,158800,220232,-1.1,-19.2,163.3,252.5,117.4,22,-18.3,166.23,256.42
2026-04-09,KOSPI,LIG넥스원,079550,195140,887000,753754,45.2,84.2,70.9,176.8,115.6,151,26.86,17.7,90.63
2026-04-09,KOSPI,효성중공업,298040,268733,2882000,41400,17.3,10.7,35.0,488.8,115.1,42,-5.63,15.09,401.96
2026-04-09,KOSDAQ,피에스케이홀딩스,031980,22187,102900,118680,8.1,30.4,109.6,199.1,114.9,43,20.63,93.89,176.69
2026-04-09,KOSPI,GS건설,006360,30424,35550,6764319,41.6,89.4,90.2,94.8,114.8,201,33.76,34.32,37.57
2026-04-09,KOSPI,삼성E&A,028050,100548,51300,7591782,43.7,66.6,97.7,166.6,113.6,137,15.94,37.58,85.53
2026-04-09,KOSDAQ,두산테스나,131970,16660,86200,444721,-14.9,27.1,71.7,240.7,113.2,36,49.35,101.76,300.35
2026-04-09,KOSDAQ,로보티즈,108490,36485,249000,139925,3.3,-26.4,12.9,646.6,113.0,44,-28.75,9.29,622.75
2026-04-09,KOSDAQ,주성엔지니어링,036930,29654,63800,1037520,5.1,54.3,107.8,89.9,112.8,50,46.81,97.72,80.69
2026-04-09,KOSPI,두산,000150,209710,1295000,145065,26.2,52.2,36.5,326.7,112.2,66,20.6,8.16,238.11
2026-04-09,KOSDAQ,비에이치아이,083650,28623,92500,236201,0.0,28.8,82.4,227.4,109.8,31,28.8,82.4,227.4
2026-04-09,KOSPI,삼성전자,005930,12076061,204000,26431837,22.0,27.1,89.8,267.6,109.1,65,4.18,55.57,201.31
2026-04-09,KOSDAQ,태웅,044490,9123,45600,197275,-8.2,48.8,48.3,203.2,107.9,61,62.09,61.55,230.28
2026-04-09,KOSDAQ,휴림로봇,090710,13140,11000,3823805,6.8,-25.4,70.5,476.5,106.9,20,-30.15,59.64,439.79
2026-04-09,KOSDAQ,쏠리드,050890,8639,14220,4431800,12.6,67.3,76.4,99.4,105.6,96,48.58,56.66,77.09
