기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-07,NYSE,Sandisk,SNDK,0,710.8,13269390,11.9,23.3,256.6,2113.6,563.8,1,10.19,218.68,1878.19
2026-04-07,NYSE,Lumentum,LITE,0,815.75,5074537,16.1,108.2,304.7,1281.7,487.2,2,79.33,248.58,1090.09
2026-04-07,NYSE,Ciena,CIEN,0,447.88,1856610,15.4,77.9,135.8,566.9,235.9,3,54.16,104.33,477.9
2026-04-07,NYSE,Western Digital,WDC,0,311.96,5419761,15.3,24.7,107.7,611.3,188.2,4,8.15,80.14,516.91
2026-04-07,NYSE,APA Corporation,APA,0,42.96,6001847,1.2,62.7,89.7,176.4,129.6,15,60.77,87.45,173.12
2026-04-07,NYSE,EchoStar,SATS,0,124.77,3732105,6.6,10.2,66.6,455.0,129.2,14,3.38,56.29,420.64
2026-04-07,NYSE,Teradyne,TER,0,320.48,1726643,8.1,33.0,76.3,331.9,126.8,5,23.03,63.09,299.54
2026-04-07,NYSE,Seagate Technology,STX,0,468.72,3793835,19.6,15.0,83.2,414.9,126.7,7,-3.85,53.18,330.52
2026-04-07,NYSE,Coherent Corp.,COHR,0,255.1,3900536,7.1,20.2,93.3,296.6,118.6,6,12.23,80.49,270.31
2026-04-07,NYSE,Corning Inc.,GLW,0,148.52,5818888,9.2,43.8,66.7,234.7,110.8,12,31.68,52.66,206.5
2026-04-07,NYSE,Micron Technology,MU,0,377.58,36641228,11.8,-9.0,68.7,390.7,99.4,9,-18.6,50.89,338.91
2026-04-07,NYSE,LyondellBasell,LYB,0,80.26,5476872,-0.4,63.8,72.9,37.9,95.2,21,64.46,73.59,38.45
2026-04-07,NYSE,Comfort Systems USA,FIX,0,1424.91,224415,3.3,24.8,47.6,258.4,93.6,8,20.81,42.88,246.95
2026-04-07,NYSE,Vertiv,VRT,0,262.3,2360124,4.7,40.9,36.0,207.2,89.8,10,34.57,29.89,193.41
2026-04-07,NYSE,Dow Inc.,DOW,0,41.41,13916167,-0.6,50.3,73.6,35.4,84.4,18,51.21,74.65,36.22
2026-04-07,NYSE,Keysight Technologies,KEYS,0,300.61,949889,6.5,39.0,64.3,106.7,81.4,22,30.52,54.27,94.08
2026-04-07,NYSE,Albemarle Corporation,ALB,0,173.53,943110,-3.3,1.7,76.7,196.4,80.6,13,5.17,82.73,206.51
2026-04-07,NYSE,CF Industries,CF,0,133.78,4337205,3.0,43.5,60.6,70.7,77.7,23,39.32,55.92,65.73
