기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-15,NASDAQ,Lumentum Holdings Inc,LITE,0,824.01,5970630,17.3,110.3,308.8,1295.7,199.0,2.0,79.28,248.51,1089.86
2026-04-15,NASDAQ,Sandisk Corp,SNDK,0,891.72,15902856,40.4,54.7,347.4,2677.1,173.2,1.0,10.19,218.66,1877.99
2026-04-15,NASDAQ,Revolution Medicines Inc,RVMD,0,152.54,11936669,56.9,57.3,159.2,277.8,98.1,,0.25,65.2,140.79
2026-04-15,NASDAQ,Western Digital Corp,WDC,0,365.0,6104015,34.9,45.9,143.0,732.2,85.8,3.0,8.15,80.13,516.9
2026-04-15,NYSE,Corning Inc,GLW,0,168.27,8116124,23.8,63.0,88.9,279.2,77.3,7.0,31.66,52.58,206.3
2026-04-15,NASDAQ,Teradyne Inc,TER,0,364.96,2360965,23.1,51.4,100.8,391.8,74.0,4.0,22.99,63.12,299.51
2026-04-15,NASDAQ,Nebius Group NV,NBIS,0,166.77,14050371,60.7,95.8,27.5,633.7,72.0,93.0,21.84,-20.66,356.57
2026-04-15,NYSE,Vertiv Holdings Co,VRT,0,301.16,5339652,20.2,61.8,56.2,252.7,63.7,8.0,34.61,29.95,193.43
2026-04-15,NASDAQ,Marvell Technology Inc,MRVL,0,134.6,23390304,35.9,70.6,43.6,130.6,63.2,75.0,25.53,5.67,69.68
2026-04-15,NASDAQ,Seagate Technology Holdings PLC,STX,0,519.6,3835585,32.6,27.4,103.1,470.8,57.2,11.0,-3.92,53.17,330.47
2026-04-15,NASDAQ,Elbit Systems Ltd,ESLT,0,899.0,104729,5.9,28.0,88.6,126.2,54.4,9.0,20.87,78.09,113.6
2026-04-15,NYSE,Petroleo Brasileiro ADR Reptg 2,PBR,0,20.54,19876447,-1.0,33.9,76.5,81.9,54.4,6.0,35.25,78.28,83.74
2026-04-15,NYSE,GE Vernova Inc,GEV,0,985.92,2302195,12.9,35.7,68.5,165.9,51.1,21.0,20.19,49.25,135.52
2026-04-15,NYSE,Equinor ASA ADR,EQNR,0,36.82,7638996,-12.7,37.1,53.7,65.2,48.7,5.0,57.04,76.06,89.23
2026-04-15,NASDAQ,Intel Corp,INTC,0,64.94,91456270,47.2,39.7,62.4,223.1,48.1,47.0,-5.1,10.33,119.5
2026-04-15,NASDAQ,Micron Technology Inc,MU,0,456.23,40135291,35.0,10.0,103.9,492.9,45.0,13.0,-18.52,51.04,339.19
2026-04-15,NYSE,Eni SpA ADR,E,0,54.22,434767,-4.2,32.5,46.9,90.8,41.9,10.0,38.31,53.34,99.16
2026-04-15,NASDAQ,Applied Materials Inc,AMAT,0,394.26,5911994,15.4,22.3,69.1,161.6,41.7,14.0,5.98,46.53,126.69
2026-04-15,NYSE,Dell Technologies Inc,DELL,0,177.28,7507254,8.0,54.9,9.4,93.2,41.4,50.0,43.43,1.3,78.89
