기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-04-30,S&P500,Sandisk,SNDK,0,1096.51,72.6,90.3,450.1,3314.9,10.25,218.74,1878.64,236.0,8.25,1
2026-04-30,S&P500,Lumentum,LITE,0,902.32,28.4,130.3,347.7,1428.3,79.35,248.66,1090.31,227.4,5.28,2
2026-04-30,S&P500,Ciena,CIEN,0,527.58,35.9,109.5,177.8,685.6,54.18,104.42,478.07,144.2,1.46,3
2026-04-30,S&P500,Western Digital,WDC,0,434.52,60.6,73.6,189.3,890.7,8.1,80.07,516.71,121.2,-0.69,4
2026-04-30,S&P500,Intel,INTC,0,94.48,114.1,103.3,136.3,370.0,-5.04,10.35,119.55,115.4,5.44,57
2026-04-30,S&P500,Seagate Technology,STX,0,673.64,72.0,65.2,163.3,640.0,-3.91,53.1,330.36,103.8,7.91,17
2026-04-30,S&P500,Coherent Corp.,COHR,0,319.71,34.2,50.7,142.3,397.1,12.27,80.52,270.35,89.0,3.06,10
2026-04-30,S&P500,ON Semiconductor,ON,0,100.81,62.8,68.3,101.3,153.9,3.39,23.64,55.97,82.1,2.2,76
2026-04-30,S&P500,Vertiv,VRT,0,328.49,31.1,76.4,70.3,284.7,34.59,29.93,193.49,78.5,-0.05,14
2026-04-30,S&P500,Keysight Technologies,KEYS,0,349.91,23.9,61.7,91.2,140.7,30.53,54.33,94.2,77.3,0.71,20
2026-04-30,S&P500,Comfort Systems USA,FIX,0,1840.25,33.4,61.1,90.6,362.9,20.74,42.81,246.87,75.7,1.45,16
2026-04-30,S&P500,Corning Inc.,GLW,0,164.24,20.8,59.1,84.4,270.1,31.69,52.64,206.38,73.0,-3.64,13
2026-04-30,S&P500,APA Corporation,APA,0,40.73,-4.0,54.2,79.8,162.1,60.7,87.37,173.1,70.3,-1.47,9
2026-04-30,S&P500,Dell Technologies,DELL,0,208.95,27.3,82.6,29.0,127.7,43.42,1.31,78.87,66.7,0.58,61
2026-04-30,S&P500,GE Vernova,GEV,0,1083.46,24.1,49.2,85.2,192.2,20.17,49.18,135.4,66.1,-1.89,35
2026-04-30,S&P500,Micron Technology,MU,0,517.16,53.1,24.7,131.1,572.1,-18.57,50.98,339.04,64.4,4.84,18
2026-04-30,S&P500,Teradyne,TER,0,343.47,15.9,42.5,89.0,362.8,22.99,63.11,299.49,63.7,0.57,6
2026-04-30,S&P500,LyondellBasell,LYB,0,74.6,-7.4,52.2,60.7,28.2,64.41,73.55,38.4,61.6,0.52,8
2026-04-30,S&P500,Dow Inc.,DOW,0,40.49,-2.8,47.0,69.8,32.4,51.18,74.63,36.16,61.1,-0.49,7
2026-04-30,S&P500,Quanta Services,PWR,0,727.77,32.6,53.3,62.0,148.6,15.67,22.24,87.58,58.9,1.98,43
2026-04-30,S&P500,Generac,GNRC,0,259.23,32.7,54.3,54.3,126.6,16.24,16.25,70.77,56.4,0.04,36
2026-04-30,S&P500,Monolithic Power Systems,MPWR,0,1614.41,47.7,43.6,60.6,172.2,-2.74,8.79,84.34,50.0,-1.92,71
2026-04-30,S&P500,Albemarle Corporation,ALB,0,196.7,9.6,15.3,100.2,236.0,5.22,82.76,206.63,49.8,-1.43,12
2026-04-30,S&P500,Qnity Electronics,Q,0,140.66,21.9,46.2,48.1,0.0,19.96,21.45,-17.97,49.4,1.9,52
2026-04-30,S&P500,Jabil,JBL,0,337.49,27.1,42.3,52.8,130.3,11.99,20.25,81.24,48.0,1.48,78
2026-04-30,S&P500,Casey's,CASY,0,822.15,13.0,35.6,60.2,77.7,20.01,41.83,57.34,47.7,1.67,44
2026-04-30,S&P500,Targa Resources,TRGP,0,260.08,3.7,29.4,68.8,52.2,24.75,62.77,46.71,47.7,-2.23,26
2026-04-30,S&P500,Valero Energy,VLO,0,252.58,2.2,39.2,49.0,117.6,36.18,45.72,112.83,46.8,-2.26,21
2026-04-30,S&P500,Analog Devices,ADI,0,402.26,26.4,29.4,71.8,106.4,2.34,35.88,63.22,46.7,-1.14,64
2026-04-30,S&P500,Texas Instruments,TXN,0,281.08,44.8,30.4,74.1,75.6,-9.93,20.24,21.3,46.4,-0.02,134
2026-04-30,S&P500,Caterpillar Inc.,CAT,0,890.11,25.6,35.4,54.2,187.8,7.77,22.73,129.07,43.9,-0.05,39
2026-04-30,S&P500,CF Industries,CF,0,124.2,-4.3,33.2,49.1,58.5,39.27,55.89,65.68,43.3,-1.22,15
2026-04-30,S&P500,Occidental Petroleum,OXY,0,60.58,-6.8,33.5,47.0,53.7,43.2,57.77,64.93,42.9,-3.09,19
2026-04-30,S&P500,Advanced Micro Devices,AMD,0,354.49,74.3,49.7,38.4,264.1,-14.07,-20.57,108.97,42.8,1.71,172
2026-04-30,S&P500,Devon Energy,DVN,0,51.37,2.1,27.8,58.1,68.9,25.14,54.88,65.47,42.5,-1.58,31
2026-04-30,S&P500,Applied Materials,AMAT,0,394.49,15.4,22.4,69.2,161.8,6.04,46.63,126.79,41.8,-1.37,23
