기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NASDAQ,Sandisk Corp,SNDK,0,635.34,-0.0,167.6,466.3,1234.5,167.66,466.27,1234.51,614.1,14.05,
2026-03-31,NASDAQ,Lumentum Holdings Inc,LITE,0,702.76,0.3,90.7,331.9,1027.3,90.16,330.77,1024.33,443.8,9.89,
2026-03-31,NASDAQ,Western Digital Corp,WDC,0,270.49,-3.3,57.0,125.3,569.0,62.36,132.97,591.81,223.7,12.44,
2026-03-31,NASDAQ,Teradyne Inc,TER,0,296.46,-7.4,53.2,115.4,258.9,65.34,132.51,287.45,155.7,6.4,
2026-03-31,NASDAQ,Seagate Technology Holdings PLC,STX,0,391.76,-3.9,42.3,66.0,361.2,48.1,72.77,380.09,141.0,15.71,
2026-03-31,NASDAQ,Micron Technology Inc,MU,0,337.84,-18.1,18.4,101.9,288.8,44.48,146.46,374.59,132.5,11.82,
2026-03-31,NYSE,Vertiv Holdings Co,VRT,0,250.58,-1.7,54.7,66.1,247.1,57.33,68.96,253.03,127.0,3.25,
2026-03-31,NYSE,Corning Inc,GLW,0,135.97,-9.6,55.3,65.8,197.0,71.75,83.32,228.48,121.3,7.74,
2026-03-31,NASDAQ,EchoStar Corp,SATS,0,117.07,1.3,7.7,53.3,357.7,6.28,51.3,351.64,103.7,8.44,
2026-03-31,NASDAQ,AST SpaceMobile Inc,ASTS,0,82.87,4.6,14.1,68.8,264.4,9.03,61.35,248.24,96.3,14.41,
2026-03-31,NASDAQ,Lam Research Corp,LRCX,0,213.66,-8.6,24.8,59.6,193.9,36.63,74.68,221.72,92.7,3.27,
2026-03-31,NASDAQ,Applied Materials Inc,AMAT,0,341.79,-8.2,33.0,66.9,135.5,44.87,81.84,156.55,91.1,3.17,
2026-03-31,NYSE,Equinor ASA ADR,EQNR,0,42.2,41.5,78.6,73.1,59.5,26.24,22.35,12.78,90.6,-0.59,
2026-03-31,NASDAQ,Elbit Systems Ltd,ESLT,0,849.09,10.4,47.0,66.6,121.3,33.12,50.85,100.44,89.9,8.78,
2026-03-31,NYSE,Petroleo Brasileiro ADR Reptg 2,PBR,0,20.75,24.8,75.1,63.9,44.7,40.34,31.36,15.97,88.6,0.53,
2026-03-31,NASDAQ,Nebius Group NV,NBIS,0,103.76,13.8,24.0,-7.6,391.5,8.94,-18.78,331.98,86.8,8.46,
2026-03-31,NYSE,GE Vernova Inc,GEV,0,872.9,-0.1,33.6,42.0,185.9,33.67,42.07,186.16,85.1,2.8,
2026-03-31,NASDAQ,FTAI Aviation Ltd,FTAI,0,245.0,-19.9,24.5,46.8,120.7,55.35,83.27,175.42,77.1,0.74,
2026-03-31,NYSE,Eni SpA ADR,E,0,56.61,20.6,49.2,62.0,83.0,23.72,34.31,51.76,76.7,1.77,
2026-03-31,NYSE,Suncor Energy Inc (Canada),SU,0,66.11,17.0,49.0,58.1,70.7,27.41,35.18,45.97,73.9,-0.05,
2026-03-31,NYSE,Caterpillar Inc,CAT,0,708.46,-4.6,23.7,48.5,114.8,29.67,55.68,125.24,68.5,1.8,
2026-03-31,NYSE,Southern Copper Corp,SCCO,0,172.06,-21.2,20.9,44.1,90.6,53.37,82.77,141.86,67.5,2.68,
2026-03-31,NYSE,Canadian Natural Resources Ltd,CNQ,0,48.73,11.3,44.0,52.5,58.2,29.31,36.95,42.11,67.4,-0.99,
2026-03-31,NASDAQ,Rocket Lab Corp,RKLB,0,64.22,-7.1,-7.9,34.0,259.2,-0.95,44.23,286.47,66.0,5.37,
2026-03-31,NYSE,Quanta Services Inc,PWR,0,549.02,-2.5,30.1,32.5,116.0,33.41,35.87,121.53,64.8,0.98,
2026-03-31,NASDAQ,ASML Holding NV ADR,ASML,0,1320.83,-8.9,23.5,36.4,99.3,35.58,49.84,118.91,61.3,-1.27,
2026-03-31,NYSE,Exxon Mobil Corp,XOM,0,169.66,11.3,41.0,50.5,42.7,26.72,35.25,28.23,60.9,-3.71,
2026-03-31,NASDAQ,KLA Corp,KLAC,0,1472.41,-3.4,21.2,36.5,116.6,25.47,41.35,124.26,60.2,4.59,
2026-03-31,NYSE,TotalEnergies SE,TTE,0,90.98,13.2,39.1,52.4,40.6,22.81,34.6,24.19,59.0,1.4,
2026-03-31,NYSE,FedEx Corp,FDX,0,356.18,-8.0,23.3,51.0,46.1,33.97,64.12,58.75,57.4,0.75,
2026-03-31,NYSE,Slb NV,SLB,0,51.39,0.1,33.9,49.5,22.9,33.77,49.37,22.82,56.4,-3.13,
2026-03-31,NYSE,Freeport-McMoRan Inc,FCX,0,58.78,-13.7,15.7,49.9,55.3,34.04,73.58,79.82,55.4,3.86,
2026-03-31,NYSE,Newmont Corporation,NEM,0,108.25,-16.7,8.4,28.4,124.2,30.2,54.19,169.26,54.1,4.23,
2026-03-31,NYSE,Agnico Eagle Mines Ltd,AEM,0,202.98,-19.3,19.7,20.4,87.2,48.41,49.26,132.08,53.1,2.72,
2026-03-31,NASDAQ,Intel Corp,INTC,0,44.13,-3.2,19.6,31.5,94.3,23.6,35.95,100.84,51.9,15.07,
2026-03-31,NASDAQ,Baker Hughes Co,BKR,0,61.05,-6.5,34.1,25.3,38.9,43.3,33.95,48.49,50.9,-0.57,
2026-03-31,NASDAQ,Caseys General Stores Inc,CASY,0,727.86,6.2,31.7,28.8,67.7,24.04,21.27,57.96,50.2,2.74,
2026-03-31,NYSE,ConocoPhillips,COP,0,132.0,16.3,41.0,39.5,25.7,21.2,19.95,8.04,49.6,-0.27,
2026-03-31,NASDAQ,Warner Bros Discovery Inc,WBD,0,27.46,-2.5,-4.7,40.6,155.9,-2.26,44.24,162.53,49.0,-0.18,
2026-03-31,NASDAQ,Ross Stores Inc,ROST,0,216.63,5.3,20.3,42.2,69.5,14.16,34.94,60.92,48.5,2.11,
2026-03-31,NYSE,Rio Tinto PLC ADR,RIO,0,93.29,-6.1,16.6,41.3,55.3,24.13,50.49,65.35,48.0,0.77,
