순위,종목코드,종목명,시가총액,기준일,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
1,5930,삼성전자,1.88543E+14,2014-01-29,,,,,5.39
2,5380,현대차,5.16548E+13,2014-01-29,,,,,4.48
3,12330,현대모비스,3.01766E+13,2014-01-29,,,,,1.13
4,660,SK하이닉스,2.68811E+13,2014-01-29,,,,,2.38
5,5490,POSCO,2.60253E+13,2014-01-29,,,,,-4.86
6,15760,한국전력,2.26613E+13,2014-01-29,,,,,4.82
7,35420,NAVER,2.22498E+13,2014-01-29,,,,,21.04
8,270,기아차,2.18896E+13,2014-01-29,,,,,2.59
9,55550,신한지주,2.16472E+13,2014-01-29,,,,,-2.63
10,32830,삼성생명,2.07E+13,2014-01-29,,,,,-2.42
11,17670,SK텔레콤,1.74814E+13,2014-01-29,,,,,0
12,51910,LG화학,1.72305E+13,2014-01-29,,,,,-2.12
13,9540,현대중공업,1.7062E+13,2014-01-29,,,,,-2.23
14,105560,KB금융,1.43723E+13,2014-01-29,,,,,7.26
15,23530,롯데쇼핑,1.19036E+13,2014-01-29,,,,,-10.71
16,86790,하나금융지주,1.18567E+13,2014-01-29,,,,,1.96
17,810,삼성화재,1.1749E+13,2014-01-29,,,,,-5.04
18,96770,SK이노베이션,1.17431E+13,2014-01-29,,,,,5.12
19,66570,LG전자,1.08171E+13,2014-01-29,,,,,-7.87
20,33780,KT&G,1.0393E+13,2014-01-29,,,,,3.3
21,53000,우리금융,9.95429E+12,2014-01-29,-3.52,-3.52,8.81,-2.37,-2.43
22,3550,LG,9.92204E+12,2014-01-29,,,,,-2.61
23,830,삼성물산,9.16998E+12,2014-01-29,-0.51,-9.97,6.73,-8.71,7.16
24,34220,LG디스플레이,9.07063E+12,2014-01-29,,,,,-3.95
25,4020,현대제철,8.9044E+12,2014-01-29,,,,,-10.99
26,86280,현대글로비스,8.55E+12,2014-01-29,,,,,2.85
27,3600,SK,8.45313E+12,2014-01-29,-4.76,-8.63,3.75,4.65,6.94
28,30200,KT,8.04224E+12,2014-01-29,,,,,-1.46
29,10140,삼성중공업,7.7805E+12,2014-01-29,,,,,-5.34
30,10950,S-Oil,7.72318E+12,2014-01-29,,,,,-4.66
31,161390,한국타이어,7.64309E+12,2014-01-29,,,,,0.81
32,51900,LG생활건강,7.4655E+12,2014-01-29,,,,,-4.39
33,11170,롯데케미칼,7.24925E+12,2014-01-29,,,,,-4.02
34,139480,이마트,7.24771E+12,2014-01-29,,,,,-2.31
35,35250,강원랜드,7.24189E+12,2014-01-29,,,,,-5.76
36,24110,기업은행,6.90644E+12,2014-01-29,,,,,8.8
37,42660,대우조선해양,6.60298E+12,2014-01-29,,,,,-4.78
38,10130,고려아연,6.56676E+12,2014-01-29,,,,,-2.01
39,6400,삼성SDI,6.53762E+12,2014-01-29,,,,,4.18
40,720,현대건설,6.50318E+12,2014-01-29,,,,,0
41,88350,한화생명,6.35764E+12,2014-01-29,,,,,-6.56
42,34730,SK C&C,6.25E+12,2014-01-29,,,,,16
43,36460,한국가스공사,6.14805E+12,2014-01-29,,,,,4.2
44,90430,아모레퍼시픽,5.916E+12,2014-01-29,,,,,16.01
45,21240,코웨이,5.35246E+12,2014-01-29,,,,,-1.59
46,1800,오리온,5.2128E+12,2014-01-29,,,,,2.29
47,2380,KCC,5.12324E+12,2014-01-29,,,,,5.95
48,9150,삼성전기,4.98207E+12,2014-01-29,,,,,1.65
49,32640,LG유플러스,4.78089E+12,2014-01-29,,,,,-4.57
50,78930,GS,4.76656E+12,2014-01-29,,,,,-3.41
51,47050,대우인터내셔널,4.72017E+12,2014-01-29,,,,,1.33
52,10060,OCI,4.53138E+12,2014-01-29,,,,,8.95
53,36570,엔씨소프트,4.35007E+12,2014-01-29,,,,,-3.78
54,18880,한라비스테온공조,4.19567E+12,2014-01-29,,,,,1.14
55,11210,현대위아,4.15541E+12,2014-01-29,,,,,4.64
56,29780,삼성카드,4.03768E+12,2014-01-29,,,,,-3.59
57,1300,제일모직,3.95904E+12,2014-01-29,-14.79,-16.02,-12,-15.45,-8.74
58,34020,두산중공업,3.8907E+12,2014-01-29,,,,,-1.23
59,5830,동부화재,3.80904E+12,2014-01-29,,,,,-4.65
60,2790,아모레G,3.78608E+12,2014-01-29,,,,,5.37
61,97950,CJ제일제당,3.47805E+12,2014-01-29,,,,,3.39
62,10620,현대미포조선,3.47E+12,2014-01-29,-1.7,2.66,,,-8.93
63,1040,CJ,3.45583E+12,2014-01-29,,,,,7.14
64,69960,현대백화점,3.36995E+12,2014-01-29,,,,,-1.74
65,16360,삼성증권,3.32111E+12,2014-01-29,,,,,-8.86
66,30000,제일기획,3.22115E+12,2014-01-29,,,,,-12.68
67,47810,한국항공우주,3.1192E+12,2014-01-29,,,,,-1.88
68,138930,BS금융지주,3.06507E+12,2014-01-29,,,,,0.32
69,8770,호텔신라,3.06135E+12,2014-01-29,,,,,6.79
70,12750,에스원,2.95634E+12,2014-01-29,,,,,4.63
71,210,대림산업,2.88144E+12,2014-01-29,,,,,6.4
72,28050,삼성엔지니어링,2.868E+12,2014-01-29,,,,,4.74
73,150,두산,2.8504E+12,2014-01-29,,,,,1.1
74,47040,대우건설,2.83455E+12,2014-01-29,,,,,19.35
75,12450,삼성테크윈,2.81589E+12,2014-01-29,,,,,-0.56
76,6800,대우증권,2.81289E+12,2014-01-29,,,,,-0.82
77,9830,한화케미칼,2.80567E+12,2014-01-29,,,,,5
78,1450,현대해상,2.78034E+12,2014-01-29,,,,,-6.43
79,6260,LS,2.70802E+12,2014-01-29,,,,,-12.96
80,42670,두산인프라코어,2.70729E+12,2014-01-29,3.99,,,,3.06
81,880,한화,2.70601E+12,2014-01-29,,,,,-0.28
82,11780,금호석유,2.68725E+12,2014-01-29,,,,,0.68
83,4990,롯데제과,2.6438E+12,2014-01-29,,,,,-3.12
84,52690,한전기술,2.59132E+12,2014-01-29,,,,,-5.01
85,114090,GKL,2.56701E+12,2014-01-29,,,,,6.02
86,51600,한전KPS,2.529E+12,2014-01-29,,,,,15.12
87,64350,현대로템,2.45225E+12,2014-01-29,,,,,1.91
88,120,CJ대한통운,2.44092E+12,2014-01-29,,,,,12.15
89,11200,현대상선,2.39522E+12,2014-01-29,,,,,-5.3
90,4800,효성,2.37745E+12,2014-01-29,,,,,7.53
91,4170,신세계,2.24962E+12,2014-01-29,,,,,-1.31
92,139130,DGB금융지주,2.23869E+12,2014-01-29,,,,,-1.79
93,670,영풍,2.23808E+12,2014-01-29,,,,,0.41
94,71050,한국금융지주,2.19839E+12,2014-01-29,,,,,-2.53
95,60980,만도,2.19594E+12,2014-01-29,,,,,8.61
96,57050,현대홈쇼핑,2.178E+12,2014-01-29,,,,,-7.44
97,100,유한양행,2.17475E+12,2014-01-29,,,,,1.28
98,1740,SK네트웍스,2.09222E+12,2014-01-29,,,,,-1.19
99,3490,대한항공,2.07418E+12,2014-01-29,,,,,-2.27
100,73240,금호타이어,2.04719E+12,2014-01-29,,,,,1.08
101,5300,롯데칠성,2.00427E+12,2014-01-29,,,,,-6.17
102,10120,LS산전,2.001E+12,2014-01-29,,,,,-5.1
103,88980,맥쿼리인프라,1.99207E+12,2014-01-29,,,,,3.34
104,240,한국타이어월드와이드,1.97203E+12,2014-01-29,,,,,1.42
105,7070,GS리테일,1.95195E+12,2014-01-29,,,,,7.1
106,2550,LIG손해보험,1.887E+12,2014-01-29,-3.08,20.04,27.59,21.66,-1.59
107,12630,현대산업,1.83184E+12,2014-01-29,,,,,20.37
108,71840,롯데하이마트,1.82252E+12,2014-01-29,,,,,2.59
109,5940,우리투자증권,1.82118E+12,2014-01-29,,,,,0.88
110,5440,현대그린푸드,1.76357E+12,2014-01-29,,,,,-6.37
111,6360,GS건설,1.71615E+12,2014-01-29,,,,,7.13
112,11070,LG이노텍,1.71453E+12,2014-01-29,,,,,7.53
113,111770,영원무역,1.70821E+12,2014-01-29,,,,,-5.45
114,4370,농심,1.6636E+12,2014-01-29,,,,,9.32
115,3240,태광산업,1.56321E+12,2014-01-29,,,,,-1.07
116,37560,CJ헬로비전,1.54506E+12,2014-01-29,,,,,-9.52
117,6280,녹십자,1.53094E+12,2014-01-29,,,,,3.82
118,60,메리츠화재,1.525E+12,2014-01-29,-1.63,4.15,13.16,5.61,0
119,37620,미래에셋증권,1.51231E+12,2014-01-29,-3.47,1.41,-8.72,-9.29,5.12
120,80,하이트진로,1.50086E+12,2014-01-29,,,,,9.81
121,2350,넥센타이어,1.40482E+12,2014-01-29,,,,,-3.04
122,108670,LG하우시스,1.39896E+12,2014-01-29,,,,,9.94
123,7310,오뚜기,1.35536E+12,2014-01-29,,,,,1.65
124,53210,스카이라이프,1.34141E+12,2014-01-29,,,,,-3.39
125,3690,코리안리,1.33472E+12,2014-01-29,,,,,-1.32
126,120110,코오롱인더,1.25952E+12,2014-01-29,,,,,6.37
127,9240,한샘,1.23553E+12,2014-01-29,,,,,23.43
128,6120,SK케미칼,1.2214E+12,2014-01-29,,,,,6.14
129,115390,락앤락,1.221E+12,2014-01-29,-3.48,-19.27,-5.13,-15.75,-22.52
