시장,종목명,종목코드,기준일(월말),기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
KOSDAQ,성호전자,043260,2026-02-28,25850,48.65,955.1,2354.89,2132.3,2358.26
KOSDAQ,페니트리움바이오,187660,2026-02-28,18670,452.37,657.4,521.3,924.7,881.04
KOSDAQ,현대무벡스,319400,2026-02-28,34600,9.49,267.69,628.42,828.86,692.24
KOSDAQ,삼표시멘트,038500,2026-02-28,17350,106.55,466.07,427.36,457.88,656.8
KOSDAQ,한국피아이엠,448900,2026-02-28,126700,74.28,137.71,970.1,360.73,652.51
KOSDAQ,우리기술,032820,2026-02-28,17110,89.48,341.55,341.55,744.94,575.1
KOSDAQ,스피어,347700,2026-02-28,42900,57.72,387.5,267.92,461.52,524.72
KOSDAQ,휴림로봇,090710,2026-02-28,14430,-2.1,170.73,465.88,561.93,482.33
KOSDAQ,아이티센글로벌,124500,2026-02-28,58500,8.74,184.67,303.45,857.45,469.2
KOSPI,미래에셋증권,006800,2026-02-28,71689,68.42,229.53,275.98,723.82,452.7
KOSDAQ,삼천당제약,000250,2026-02-28,825000,71.7,281.06,328.79,344.5,443.81
KOSDAQ,한스바이오메드,042520,2026-02-28,50400,27.59,62.58,565.79,535.56,434.55
KOSDAQ,에스피지,058610,2026-02-28,144600,-5.92,129.52,470.41,459.38,431.89
KOSDAQ,쎄트렉아이,099320,2026-02-28,190200,-3.21,288.96,275.15,270.04,423.39
KOSDAQ,앱클론,174900,2026-02-28,61800,-2.37,61.36,510.67,406.14,386.12
KOSPI,SK스퀘어,402340,2026-02-28,645000,13.16,116.44,332.89,615.87,380.14
KOSDAQ,유진로봇,056080,2026-02-28,36550,6.25,199.59,266.23,352.91,362.12
KOSDAQ,오름테라퓨틱,475830,2026-02-28,130300,15.31,128.6,407.0,287.8,360.88
KOSDAQ,원익홀딩스,030530,2026-02-28,35000,-17.26,47.68,302.76,756.79,344.33
KOSDAQ,대한광통신,010170,2026-02-28,4295,24.13,89.54,285.55,578.52,325.28
KOSPI,SK하이닉스,000660,2026-02-28,1061000,16.72,100.19,294.42,457.83,315.59
KOSDAQ,로보티즈,108490,2026-02-28,288500,-14.77,23.55,225.92,872.95,309.35
KOSDAQ,뉴로메카,348340,2026-02-28,81700,-11.0,165.69,265.55,188.18,305.16
KOSPI,한미반도체,042700,2026-02-28,323500,53.32,161.73,271.84,245.99,303.84
KOSDAQ,에이치브이엠,295310,2026-02-28,75000,-14.29,228.95,158.18,192.97,303.7
KOSDAQ,미래에셋벤처투자,100790,2026-02-28,21850,24.15,132.69,239.81,349.13,291.06
KOSDAQ,클로봇,466100,2026-02-28,74200,0.13,83.21,287.67,397.65,289.91
KOSDAQ,씨어스테크놀로지,458870,2026-02-28,46492,-15.05,3.26,184.49,948.3,287.52
KOSDAQ,선익시스템,171090,2026-02-28,131000,113.36,180.51,255.5,189.18,287.32
KOSDAQ,제주반도체,080220,2026-02-28,50900,17.55,170.03,216.54,225.03,285.79
KOSDAQ,인텔리안테크,189300,2026-02-28,121000,15.13,193.33,162.76,247.7,282.56
KOSPI,미래에셋증권2우B,00680K,2026-02-28,22526,44.06,133.07,174.41,456.89,276.22
KOSDAQ,파두,440110,2026-02-28,59300,179.06,114.47,318.49,301.49,275.3
KOSDAQ,삼현,437730,2026-02-28,60000,-10.45,48.88,321.05,362.25,274.17
KOSDAQ,메지온,140410,2026-02-28,141500,-17.92,81.41,249.38,401.77,273.76
KOSDAQ,현대바이오,048410,2026-02-28,15680,39.38,211.73,157.89,165.54,273.56
KOSPI,현대차,005380,2026-02-28,674000,34.8,157.74,206.36,249.22,272.26
KOSPI,현대건설,000720,2026-02-28,164700,60.53,145.82,165.22,391.64,265.49
KOSPI,현대오토에버,307950,2026-02-28,501000,8.56,148.02,185.31,280.41,265.44
KOSDAQ,큐리옥스바이오시스템즈,445680,2026-02-28,119600,1.44,24.58,182.74,764.16,263.58
KOSPI,대우건설,047040,2026-02-28,10140,104.02,188.07,172.58,199.12,255.76
KOSDAQ,아주IB투자,027360,2026-02-28,5810,21.29,180.68,165.3,149.36,252.8
KOSPI,삼성전자,005930,2026-02-28,216500,34.89,115.42,210.62,297.25,250.12
KOSDAQ,비나텍,126340,2026-02-28,123600,29.83,111.65,170.65,398.85,248.45
KOSDAQ,온코닉테라퓨틱스,476060,2026-02-28,23500,27.93,13.25,252.75,547.03,240.8
KOSDAQ,엘앤씨바이오,290650,2026-02-28,98600,6.94,70.0,217.55,355.43,234.47
KOSDAQ,브이엠,089970,2026-02-28,41600,38.44,66.4,238.49,336.06,231.89
KOSPI,한화시스템,272210,2026-02-28,113600,20.59,145.89,123.18,271.85,228.55
KOSDAQ,에이프릴바이오,397030,2026-02-28,72200,23.84,80.5,219.47,295.83,228.53
KOSDAQ,제이에스링크,127120,2026-02-28,39050,87.29,97.32,114.56,549.75,227.63
KOSDAQ,레인보우로보틱스,277810,2026-02-28,860000,18.13,97.7,214.44,151.09,211.97
KOSPI,효성중공업,298040,2026-02-28,2823000,8.45,48.5,127.66,552.72,211.48
KOSDAQ,디앤디파마텍,347850,2026-02-28,92400,-2.22,-2.53,134.58,665.28,198.77
KOSDAQ,케어젠,214370,2026-02-28,136800,9.0,56.7,146.04,406.67,197.91
KOSDAQ,인벤티지랩,389470,2026-02-28,93600,26.66,51.95,110.81,523.17,196.27
KOSDAQ,기가비스,420770,2026-02-28,72000,33.58,108.09,166.67,152.19,193.53
KOSDAQ,테스,095610,2026-02-28,73600,1.94,86.57,144.93,254.7,192.27
KOSDAQ,RFHIC,218410,2026-02-28,56800,18.7,106.92,115.97,256.34,191.05
KOSPI,이수스페셜티케미컬,457190,2026-02-28,115200,8.27,121.54,158.01,80.0,190.58
KOSPI,삼성전자우,005935,2026-02-28,143800,22.49,91.73,154.06,221.7,190.26
KOSPI,삼성전기,009150,2026-02-28,448500,60.75,78.69,179.44,232.22,186.96
KOSDAQ,태성,323280,2026-02-28,79000,6.18,95.3,178.17,113.51,186.79
KOSDAQ,비에이치아이,083650,2026-02-28,93500,30.22,108.01,60.93,369.85,184.8
KOSDAQ,유진테크,084370,2026-02-28,134000,20.72,67.92,179.46,219.05,183.73
KOSPI,LS ELECTRIC,010120,2026-02-28,787000,39.05,71.09,176.63,227.92,182.96
KOSDAQ,큐리언트,115180,2026-02-28,32250,-5.84,10.45,159.66,461.85,181.72
KOSPI,키움증권,039490,2026-02-28,466000,5.07,70.7,126.76,308.06,180.54
KOSDAQ,파이버프로,368770,2026-02-28,13710,-18.44,104.93,132.37,128.5,179.52
KOSDAQ,피에스케이홀딩스,031980,2026-02-28,87200,10.52,93.78,154.23,111.39,172.31
KOSDAQ,로킷헬스케어,376900,2026-02-28,68100,12.38,-14.02,363.58,0.0,168.1
KOSDAQ,에스앤에스텍,101490,2026-02-28,98700,8.46,101.84,81.77,235.71,167.81
KOSDAQ,서진시스템,178320,2026-02-28,47550,24.64,94.88,146.25,108.1,165.72
KOSDAQ,SFA반도체,036540,2026-02-28,7900,0.77,89.22,128.32,147.65,164.92
KOSDAQ,올릭스,226950,2026-02-28,180000,30.53,39.86,191.26,206.12,162.64
KOSPI,일진전기,103590,2026-02-28,89500,33.58,63.02,146.9,218.51,160.85
