기준일,시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
2026-03-27,KOSDAQ,성호전자,043260,44250,154.5,1706.1,4102.3,3721.2,4129.4
2026-03-27,KOSDAQ,대한광통신,010170,9310,169.1,310.9,735.7,1370.8,856.9
2026-03-27,KOSDAQ,우리기술,032820,23050,155.3,494.8,494.8,1038.3,819.9
2026-03-27,KOSDAQ,삼천당제약,000250,1117000,132.5,415.9,480.6,501.8,646.9
2026-03-27,KOSDAQ,삼표시멘트,038500,16330,94.4,432.8,396.4,425.1,610.5
2026-03-27,KOSDAQ,스피어,347700,48100,76.8,446.6,312.5,529.6,604.1
2026-03-27,KOSPI,대우건설,047040,16930,240.6,381.0,355.1,399.4,514.1
2026-03-27,KOSDAQ,앱클론,174900,72900,15.2,90.3,620.4,497.1,478.8
2026-03-27,KOSDAQ,현대무벡스,319400,25400,-19.6,169.9,434.7,581.9,473.6
2026-03-27,KOSDAQ,아주IB투자,027360,8870,85.2,328.5,305.0,280.7,454.4
2026-03-27,KOSDAQ,미래에셋벤처투자,100790,29450,67.3,213.6,358.0,505.3,437.5
2026-03-27,KOSDAQ,에이치브이엠,295310,95000,8.6,316.7,227.0,271.1,419.3
2026-03-27,KOSDAQ,휴림로봇,090710,12620,-14.4,136.8,394.9,478.9,405.5
2026-03-27,KOSPI,미래에셋증권,006800,64800,52.2,197.9,239.9,644.7,396.7
2026-03-27,KOSDAQ,로킷헬스케어,376900,123900,104.5,56.4,743.4,0.0,396.0
2026-03-27,KOSDAQ,쎄트렉아이,099320,176000,-10.4,259.9,247.1,242.4,382.1
2026-03-27,KOSDAQ,아이티센글로벌,124500,46000,-14.5,123.8,217.2,652.9,341.2
2026-03-27,KOSDAQ,RFHIC,218410,80400,68.0,192.9,205.7,404.4,324.4
2026-03-27,KOSDAQ,피에스케이,319660,79400,29.1,167.3,224.1,325.7,305.2
2026-03-27,KOSPI,SK스퀘어,402340,536000,-6.0,79.9,259.7,494.9,293.9
2026-03-27,KOSDAQ,오름테라퓨틱,475830,112100,-0.8,96.7,336.2,233.6,292.3
