기준일(월말),시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%)
2026-03-27,NASDAQ,Sandisk Corp,SNDK,603.17,-7.48,141.22,521.06,1046.28,584.25,
2026-03-27,NASDAQ,Lumentum Holdings Inc,LITE,688.8,1.74,76.27,328.49,941.9,413.29,
2026-03-27,NASDAQ,Western Digital Corp,WDC,273.35,-3.15,50.57,155.75,541.37,227.24,
2026-03-27,NASDAQ,Teradyne Inc,TER,297.34,-10.63,49.49,119.75,237.85,149.16,
2026-03-27,NASDAQ,Micron Technology Inc,MU,355.46,-14.46,24.81,126.02,285.82,142.92,
2026-03-27,NASDAQ,Seagate Technology Holdings PLC,STX,378.79,-7.54,32.34,74.15,332.26,130.91,
2026-03-27,NYSE,Vertiv Holdings Co,VRT,252.4,-2.63,50.61,82.08,209.24,123.91,
2026-03-27,NYSE,Corning Inc,GLW,135.32,-9.97,51.08,70.54,187.3,115.58,
2026-03-27,NASDAQ,Elbit Systems Ltd,ESLT,890.22,16.32,55.88,80.36,126.33,106.89,
2026-03-27,NASDAQ,AST SpaceMobile Inc,ASTS,87.86,2.45,22.11,78.98,221.95,101.08,
2026-03-27,NYSE,Equinor ASA ADR,EQNR,41.12,42.04,78.47,61.0,58.34,96.54,
2026-03-27,NASDAQ,EchoStar Corp,SATS,111.4,2.8,5.49,51.67,323.25,94.32,
2026-03-27,NYSE,Petroleo Brasileiro ADR Reptg 2,PBR,20.33,22.4,76.02,55.43,41.87,92.42,
2026-03-27,NASDAQ,Lam Research Corp,LRCX,211.62,-11.48,18.84,64.9,177.94,85.41,
2026-03-27,NASDAQ,Applied Materials Inc,AMAT,338.55,-9.89,29.27,66.02,124.68,83.34,
2026-03-27,NYSE,GE Vernova Inc,GEV,873.12,-0.38,31.6,44.28,174.83,82.46,
2026-03-27,NASDAQ,Nebius Group NV,NBIS,105.97,1.04,20.98,-1.61,328.85,81.55,
2026-03-27,NASDAQ,FTAI Aviation Ltd,FTAI,239.95,-22.61,37.75,45.54,110.48,79.59,
2026-03-27,NYSE,Suncor Energy Inc (Canada),SU,64.98,17.08,50.73,52.46,67.22,76.84,
2026-03-27,NYSE,Valero Energy Corp,VLO,248.14,21.76,51.3,41.29,84.46,74.22,
2026-03-27,NYSE,Canadian Natural Resources Ltd,CNQ,48.67,12.95,48.43,48.88,55.54,71.7,
2026-03-27,NYSE,Eni SpA ADR,E,54.1,18.8,43.24,50.91,75.02,71.29,
2026-03-27,NASDAQ,Rocket Lab Corp,RKLB,65.94,-9.24,-6.67,42.54,239.2,65.62,
2026-03-27,NYSE,Caterpillar Inc,CAT,703.19,-6.61,20.62,50.98,106.15,64.53,
2026-03-27,NYSE,Quanta Services Inc,PWR,545.64,-3.44,26.11,34.58,109.35,60.73,
2026-03-27,NYSE,Slb NV,SLB,52.31,1.59,38.42,47.27,23.31,58.72,
2026-03-27,NASDAQ,ASML Holding NV ADR,ASML,1329.5,-9.17,23.93,39.72,88.38,58.52,
2026-03-27,NYSE,Exxon Mobil Corp,XOM,165.43,11.37,38.89,41.13,39.87,57.38,
2026-03-27,NYSE,TotalEnergies SE,TTE,89.95,13.96,37.27,42.44,38.66,55.97,
2026-03-27,NYSE,ConocoPhillips,COP,133.25,20.37,45.56,35.31,29.12,55.85,
2026-03-27,NYSE,Dell Technologies Inc,DELL,175.82,44.77,36.04,34.46,82.65,53.64,
2026-03-27,NASDAQ,Baker Hughes Co,BKR,62.36,-3.91,37.81,23.44,41.66,51.08,
2026-03-27,NASDAQ,KLA Corp,KLAC,1451.13,-4.8,13.4,36.35,105.68,50.99,
2026-03-27,NASDAQ,Diamondback Energy Inc,FANG,202.19,21.09,38.19,36.38,23.97,49.32,
2026-03-27,NYSE,FedEx Corp,FDX,349.55,-9.84,17.96,46.98,43.45,48.52,
2026-03-27,NASDAQ,Ross Stores Inc,ROST,214.3,5.31,18.31,41.43,67.82,47.86,
2026-03-27,NYSE,Chevron Corp,CVX,207.79,12.83,38.51,29.74,23.71,47.85,
2026-03-27,NASDAQ,Intel Corp,INTC,44.1,-2.99,21.82,24.23,88.3,47.83,
2026-03-27,NASDAQ,Caseys General Stores Inc,CASY,711.81,4.32,25.14,30.0,67.09,47.67,
2026-03-27,NYSE,Lockheed Martin Corp,LMT,627.33,-2.23,29.87,28.7,40.92,46.88,
2026-03-27,NYSE,EOG Resources Inc,EOG,147.49,21.76,42.5,25.73,14.17,45.35,
2026-03-27,NYSE,BP PLC ADR,BP,46.17,21.53,34.72,29.36,34.14,44.98,
2026-03-27,NASDAQ,Warner Bros Discovery Inc,WBD,27.07,-6.01,-6.01,38.75,145.42,44.85,
2026-03-27,NYSE,Southern Copper Corp,SCCO,159.76,-25.93,7.7,38.74,69.32,44.58,
2026-03-27,NYSE,Freeport-McMoRan Inc,FCX,55.83,-18.35,5.26,56.17,34.56,42.88,
2026-03-27,NASDAQ,Telefonaktiebolaget LM Ericsson ADR,ERIC,11.44,1.33,18.18,39.68,39.85,42.09,
2026-03-27,NYSE,Merck & Co Inc,MRK,118.93,-0.31,11.38,51.39,34.98,41.85,
2026-03-27,NASDAQ,Royalty Pharma PLC,RPRX,46.94,3.48,19.68,33.96,48.73,41.78,
2026-03-27,NASDAQ,Arm Holdings PLC ADR,ARM,154.8,19.76,40.38,10.87,34.69,40.73,
2026-03-27,NYSE,America Movil SAB de CV ADR,AMX,24.86,-2.2,19.58,19.18,73.12,40.31,
2026-03-27,NYSE,Johnson & Johnson,JNJ,239.24,-1.74,15.22,33.13,47.93,38.68,
2026-03-27,NYSE,Deere & Co,DE,581.19,-6.18,23.94,25.26,20.17,37.05,
2026-03-27,NYSE,Shell PLC ADR,SHEL,92.16,13.53,26.58,25.56,26.19,36.57,
2026-03-27,NASDAQ,Monolithic Power Systems Inc,MPWR,1058.28,-10.33,11.83,19.24,76.24,36.4,
2026-03-27,NASDAQ,GlobalFoundries Inc,GFS,44.57,-5.01,24.46,25.23,15.02,36.19,
2026-03-27,NYSE,Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,326.11,-13.46,7.68,19.3,87.96,36.08,
2026-03-27,NASDAQ,Analog Devices Inc,ADI,313.42,-11.55,13.21,26.6,48.87,35.96,
2026-03-27,NASDAQ,Vodafone Group PLC ADR,VOD,14.63,-5.0,11.51,27.88,56.3,35.41,
2026-03-27,NASDAQ,Old Dominion Freight Line Inc,ODFL,187.93,-5.26,17.83,35.6,11.42,35.4,
2026-03-27,NYSE,GSK plc ADR,GSK,53.94,-7.11,9.9,35.36,40.8,35.18,
2026-03-27,NASDAQ,Equinix Inc,EQIX,963.39,1.62,26.21,21.9,15.92,34.78,
2026-03-27,NYSE,Kinder Morgan Inc,KMI,34.07,3.06,25.3,20.77,19.63,33.94,
2026-03-27,NYSE,Howmet Aerospace Inc,HWM,230.51,-11.45,9.13,19.34,71.84,33.64,
2026-03-27,NASDAQ,Biogen Inc,BIIB,191.06,1.62,7.89,39.08,34.14,32.36,
2026-03-27,NYSE,Williams Companies Inc,WMB,74.06,-0.95,24.43,15.7,23.54,32.29,
2026-03-27,NYSE,Northrop Grumman Corp,NOC,691.99,-2.66,19.85,16.39,36.45,31.9,
2026-03-27,NYSE,BHP Group Ltd ADR,BHP,68.5,-15.51,10.68,25.14,37.49,31.71,
2026-03-27,NYSE,Enterprise Products Partners Units,EPD,39.1,8.67,22.69,23.62,15.54,31.33,
2026-03-27,NYSE,Johnson Controls International PLC,JCI,131.57,-8.26,7.79,22.95,58.98,31.16,
2026-03-27,NYSE,Verizon Communications Inc,VZ,50.74,3.78,25.35,16.35,14.85,30.66,
2026-03-27,NYSE,Agnico Eagle Mines Ltd,AEM,187.56,-23.88,2.37,14.77,79.05,29.87,
2026-03-27,NYSE,Newmont Corporation,NEM,99.36,-22.05,-6.07,16.55,109.66,29.76,
2026-03-27,NYSE,Rio Tinto PLC ADR,RIO,85.79,-13.42,4.32,32.39,36.46,29.62,
2026-03-27,NASDAQ,ON Semiconductor Corp,ON,60.87,-10.7,10.81,21.35,35.15,28.5,
2026-03-27,NYSE,Nextera Energy Inc,NEE,91.16,-0.9,13.37,20.18,30.73,27.11,
2026-03-27,NASDAQ,Advanced Micro Devices Inc,AMD,203.77,0.04,-5.22,27.79,84.93,26.7,
2026-03-27,NASDAQ,Walmart Inc,WMT,122.18,-1.8,9.34,18.44,43.39,25.73,
2026-03-27,NYSE,Novartis AG ADR,NVS,149.7,-9.55,7.56,21.07,35.92,25.67,
2026-03-27,NYSE,Bristol-Myers Squibb Co,BMY,59.43,-2.73,8.77,34.7,0.37,24.98,
2026-03-27,NASDAQ,Flex Ltd,FLEX,64.76,2.45,2.26,13.91,83.09,24.89,
2026-03-27,NASDAQ,Gilead Sciences Inc,GILD,136.88,-4.79,9.77,22.11,25.27,24.88,
2026-03-27,NASDAQ,Amgen Inc,AMGN,353.16,-6.9,6.08,29.37,15.52,24.03,
2026-03-27,NYSE,Canadian Imperial Bank of Commerce,CM,94.32,-9.09,1.46,16.79,62.4,23.86,
2026-03-27,NASDAQ,Marvell Technology Inc,MRVL,97.68,23.19,13.13,17.45,46.32,23.85,
2026-03-27,NASDAQ,American Electric Power Company Inc,AEP,128.85,-2.46,11.39,18.06,24.01,23.44,
2026-03-27,NASDAQ,CSX Corp,CSX,39.55,-7.27,8.0,16.29,32.27,22.45,
2026-03-27,NASDAQ,Honeywell International Inc,HON,225.17,-6.52,14.09,14.75,12.1,22.37,
2026-03-27,NASDAQ,Marriott International Inc,MAR,325.74,-7.08,3.22,23.29,32.03,22.04,
2026-03-27,NYSE,Parker-Hannifin Corp,PH,901.46,-11.18,1.51,20.08,41.4,21.76,
2026-03-27,NYSE,RTX Corp,RTX,192.85,-2.42,4.15,18.06,43.56,21.54,
2026-03-27,NYSE,Mizuho Financial Group Inc ADR,MFG,7.78,-13.65,6.28,13.58,34.37,21.42,
2026-03-27,NASDAQ,Steel Dynamics Inc,STLD,174.42,-9.4,-0.59,24.92,35.9,21.04,
2026-03-27,NYSE,National Grid PLC ADR,NGG,82.4,-12.08,6.13,15.16,29.62,20.83,
2026-03-27,NASDAQ,Cisco Systems Inc,CSCO,82.16,5.2,5.12,22.23,32.94,20.76,
2026-03-27,NYSE,Enbridge Inc,ENB,54.5,4.31,14.66,9.9,22.42,20.3,
2026-03-27,NYSE,Toronto-Dominion Bank,TD,92.84,-6.01,-1.91,17.15,51.82,18.61,
2026-03-27,NYSE,McKesson Corp,MCK,863.56,-11.38,4.26,13.54,30.25,18.51,
2026-03-27,NYSE,AstraZeneca PLC,AZN,183.4,-10.09,-1.29,24.32,26.1,18.37,
2026-03-27,NASDAQ,Regeneron Pharmaceuticals Inc,REGN,756.73,-1.82,-3.6,34.2,18.21,18.23,
2026-03-27,NYSE,HCA Healthcare Inc,HCA,480.32,-8.66,0.67,14.61,42.41,18.06,
